Which joint serves as the only bony connection between the pectoral girdle and the axial skeleton?,Sternoclavicular joint
At what vertebral level is the manubriosternal joint (sternal angle) typically located?,Between the fourth and fifth thoracic vertebrae ($T4$ and $T5$)
Which costal cartilages articulate with the sternum at the level of the sternal angle?,Second costal cartilages
What ligament connects the transverse process of a vertebra to the tubercle of its corresponding rib?,Costotransverse ligament
The xiphisternal joint is typically found at the level of which thoracic vertebra?,Ninth thoracic vertebra ($T9$)
Which ligament attaches the neck of a rib to the transverse process of the vertebra immediately superior to it?,Superior costotransverse ligament
Name the ligament located inside the joint of the head of the rib that attaches it to the intervertebral disc.,Intraarticular ligament of the head of the rib
The costal margin is formed anteriorly by the fusion of the cartilages from which ribs?,"Seventh, eighth, ninth, and tenth ribs"
Concept: Sternochondral joint,Definition: The articulation between the costal cartilages and the sternum.
Which anatomical plane demarcates the lower border of the superior mediastinum?,Transverse thoracic plane
The articulations between the ribs and their respective costal cartilages are known as _____ joints.,costochondral
Which thoracic landmark serves as the point where the azygos vein enters the superior vena cava?,Sternal angle (manubriosternal joint)
The joints between the costal cartilages of the lower ribs are referred to as _____ joints.,interchondral
The jugular notch is located at the level of the junction between which two vertebrae?,Second and third thoracic vertebrae ($T2$ and $T3$)
Which ligament connects the non-articular part of the rib tubercle to the tip of the transverse process?,Lateral costotransverse ligament
What is the posterior vertebral landmark for the bifurcation of the trachea?,Fourth thoracic vertebra ($T4$)
The articulation between the sternal body and the xiphoid process is called the _____ joint.,xiphisternal
Which thoracic joint must be mobile to allow for the rotation of the scapula during arm abduction?,Sternoclavicular joint
What type of joint is formed between the tubercle of a rib and the transverse process of a vertebra?,Synovial joint (costotransverse joint)
The head of the first rib articulates specifically with which vertebra?,First thoracic vertebra ($T1$)
How does the first sternocostal joint differ in tissue type from the second through seventh joints?,It is a primary cartilaginous joint (synchondrosis) rather than a synovial joint.
What ligament connects the head of a rib to the bodies of two adjacent vertebrae?,Radiate ligament of the head of the rib
Which anatomical landmark is used to precisely locate the second rib for counting purposes?,Sternal angle (angle of Louis)
The shaft of the first rib lies predominantly deep to which bone?,Clavicle
What skeletal landmark can be palpated lateral to the thoracic spinous processes to identify rib position?,Posterior angles of the ribs
Which structure bifurcates at the level of the manubriosternal joint?,Trachea
The transverse thoracic plane marks the point where the aortic arch becomes the _____ _____.,descending aorta
"In a horizontal section, what is the characteristic shape of the thoracic skeleton?",Reniform (kidney-shaped)
Which thoracic joint overlies the concavity of the aortic arch?,Manubriosternal joint
The space between two adjacent ribs is anatomically defined as the _____ _____.,intercostal space
"At the sternal angle, the ascending aorta transitions into the _____ _____.",aortic arch
The posterior end of the first rib can be palpated as a fullness in which clinical area?,Supraclavicular fossa
Which ligament is found within the synovial cavity of the second sternocostal joint?,Intraarticular sternocostal ligament
Which plane divides the body into right and left halves longitudinally?,Median plane
Radiologists refer to the horizontal plane of the thorax as the _____ plane.,(trans)axial
Which skeletal landmark represents the junction between the manubrium and the body of the sternum?,Sternal angle
Movement at the _____ joint is essential for the action of raising the shoulder.,sternoclavicular
Which rib joints are located between the neck of a rib and the transverse process of the same level?,Costotransverse joints
The inferior bulb of the internal jugular vein is accessed for cannulation in the _____ _____ fossa.,lesser supraclavicular
Which thoracic region expands most significantly during the process of ventilation?,Diaphragmatic region
"In the context of anatomical position, which plane is orthogonal to both the median and sagittal planes?",Horizontal (transverse) plane
Which direction does the thoracic spine curve to form the posterior wall of the thorax?,Posteriorly (kyphosis)
The suprasternal notch is found at the superior border of which part of the sternum?,Manubrium
Which clinical area is a common site for feeling pathologically enlarged lymph nodes in the upper thorax?,Supraclavicular fossa
The subclavian artery crosses the upper surface of the first rib behind the _____ region of the clavicle.,middle
Which costal cartilages typically lack a synovial joint and instead use a synchondrosis with the sternum?,First costal cartilages
The thoracic skeleton is typically _____ (longer/shorter) behind than in front.,longer
Which joint allows for 'gliding' movements between the costal cartilage and the sternum?,Sternocostal joint
What term describes the same side of the body or structure in anatomical descriptions?,Ipsilateral
"In anatomical terminology, the term _____ is frequently used in embryology to refer to the tail end.",caudal
Which plane divides the body into anterior and posterior portions?,Coronal plane
The term _____ refers to a structure being nearer to the midline of the body.,medial
The _____ plane passes longitudinally through the body to divide it into right and left halves.,median
Which anatomical term describes a structure closer to the attachment of a limb to the trunk?,Proximal
The term _____ indicates a position closer to the feet in human anatomy.,inferior
Which muscle connects the pectoral girdle to the axial skeleton posteriorly and aids in raising the shoulder?,Trapezius
The _____ aspect of the foot is considered inferior in anatomical descriptions.,plantar (flexor)
Which movement at a joint is defined as moving a limb toward the midline of the body?,Adduction
The term _____ refers to the opposite side of the body or structure.,contralateral
Which anatomical term is synonymous with 'cranial' when referring to the head?,Superior
The _____ plane is parallel to the median plane.,sagittal
What movement at the hip joint describes increasing the angle between the thigh and the trunk?,Extension
Which term describes a structure farther from the centre of an organ or cavity?,External (outer)
"In limb anatomy, a structure farther from the attachment to the trunk is described as _____.",distal
Which term is used to describe the relationship between adjacent structures as being closer to the surface?,Superficial
