What is the standard 'anatomical position' used as a reference for all anatomical descriptions?,"Standing erect, facing forwards, upper limbs by the sides with palms facing forwards, and feet together facing forwards."
Which imaginary anatomical plane passes longitudinally through the body to divide it into equal right and left halves?,Median plane
The _____ plane is any plane situated parallel to the median plane.,sagittal
Which plane is orthogonal to the median plane and divides the body into anterior (front) and posterior (back) sections?,Coronal plane
The horizontal (transverse) plane is orthogonal to which two other planes?,Median and sagittal planes
How is 'axial' anatomy traditionally viewed by radiologists when looking at transverse planes?,As though looking from the feet towards the head.
"In anatomical terminology, which term is used to describe structures situated nearer to the head?",Superior
Which term is frequently used in embryology to refer to the 'tail end' of the embryo?,Caudal
The term _____ indicates that a structure is closer to the midline of the body than another structure.,medial
"What terms describe the distance of a structure from the centre of an organ or cavity, such as the body wall layers?",External (outer) and internal (inner)
"When describing limbs, what is the 'datum point' used to determine if a structure is proximal or distal?",The attachment of the limb to the trunk.
Which term describes a structure in a limb that is located further away from the trunk's attachment point?,Distal
The term _____ refers to a structure or movement occurring on the same side of the body.,ipsilateral
The term _____ describes a structure or relationship occurring on both sides of the body.,bilateral
Which term describes a structure or movement related to the opposite side of the body?,Contralateral
"In the context of joint movements, what is the general definition of 'flexion'?",The approximation of two ventral surfaces around a transverse axis.
"Which movement describes the approximation of two dorsal surfaces, often the opposite of flexion?",Extension
"In most joints, 'abduction' and 'adduction' occur around which type of axes?",Anteroposterior axes
"The term _____ describes a movement that combines successive flexion, abduction, extension, and adduction.",circumduction
What is 'axial rotation' in its restricted sense?,Movement around a notional longitudinal axis.
Which term describes the movement of the radius on the ulna that results in the palm facing posteriorly?,Pronation
Which term describes the movement of the radius on the ulna that results in the palm facing anteriorly?,Supination
What specific terms are used to describe ankle movements to avoid the contradictory definitions of flexion and extension?,Dorsiflexion and plantarflexion
"In the foot, _____ is the tilting of the plantar surface towards the midline in the coronal plane.",inversion
"In the foot, _____ is the tilting of the plantar surface away from the midline in the coronal plane.",eversion
"How many 'degrees of freedom' does a uniaxial joint, such as the elbow, possess?",One
"A _____ joint allows independent movement around two axes, such as flexion-extension and axial rotation at the knee.",biaxial
What is the maximum number of degrees of freedom possible for independent rotation in a 'ball and socket' joint?,Three
"In biomechanics, what is the simplest motion involving sliding without appreciable angulation or rotation?",Translation
Which term describes a rotation where the bone rotates only around its stationary mechanical axis?,Pure spin
A _____ swing is a displacement where the mechanical axis of a bone moves in a single plane without spin.,cardinal
"An _____ swing occurs when a bone moves out of the initial plane and then returns to it, involving associated spin.",arcuate
What is 'conjunct (coupled) rotation'?,A rotation that is an integral and inevitable accompaniment of a main movement due to joint geometry.
What is 'adjunct rotation'?,A rotation that can occur independently and may or may not accompany a principal movement.
The _____ represents an imaginary surface containing all possible paths of a point on a mechanical axis distant from its joint.,ovoid of motion
"Conventionally, what is the 'action' of a muscle defined as?",The movement that takes place when the muscle contracts.
What type of muscle contraction involves the shortening of the active muscle?,Concentric contraction
What type of muscle contraction involves the lengthening of the active muscle while it is under tension?,Eccentric contraction
An _____ contraction occurs when a muscle is active but its length does not change.,isometric
"In a group of muscles performing a movement, which role is assigned to the muscle(s) initiating and maintaining the movement?",Prime mover
What role is assigned to a muscle that wholly opposes a specific movement or maintains the opposite movement?,Antagonist
Which muscle role involves eliminating unwanted elements of a complex movement to assist the prime mover?,Synergist
Which muscle role involves creating an immobile base on which other prime movers may act?,Fixator
A joint is in a _____ position when its articular surfaces are fully congruent and the capsule and ligaments are maximally spiralized.,close-packed
"In a _____ position, the articular surfaces are not congruent and parts of the capsule are lax, allowing for separation by external forces.",loose-packed
What is the specific movement of the thumb crossing the palm towards its ulnar border?,Transpalmar adduction (or ulnar adduction)
Which thumb movement occurs around a transverse axis and away from the palm?,Abduction
The three-dimensional movement of the foot termed 'supination' is a combination of which three components?,"Adduction, inversion, and plantar flexion."
The three-dimensional movement of the foot termed 'pronation' is a combination of which three components?,"Abduction, eversion, and dorsiflexion."
"In the foot, 'abduction' and 'adduction' occur within which anatomical plane?",Transverse plane
What type of 'accessory movement' can be produced only passively when the muscles of a joint are relaxed?,Second type
"What is the term for a succession of two movements at an angle to each other, such as from X to Y and then Y to Z on an ovoid of motion?",Diadochal movement
Which shoulder movement carries the arm anteromedially on an axis orthogonal to the glenoid fossa?,Flexion
"Regarding synovial joint surfaces, what term describes a surface that is convex in one plane and concave at right angles to that plane?",Sellar
"At the hip joint, what type of mechanical movement does the femoral head perform in the acetabulum during flexion?",Spin
Which direction does the extensor aspect of the leg face relative to the knee and ankle joints?,Anterior
"In the anatomical position of the hand, the forearm is in a state of full _____.",supination
The term _____ refers to the relative position of body segments during rest or activity.,posture
Which specific joint movement at the metacarpophalangeal joints is only maximally possible when a solid object is grasped?,"Rotation (Accessory movement, first type)"
What term describes the motion where a bone's topographical axis changes angle relative to another bone?,Angulation
Which movement reduces the angle between the foot and the leg in the sagittal plane?,Dorsiflexion
Which movement increases the angle between the foot and the leg in the sagittal plane?,Plantarflexion
"In the context of the hand, what term is used for the 'deep' side, opposite to the dorsal surface?",Palmar (or volar)
"The _____ plane passes through the body from front to back, parallel to the sagittal plane, and is often used by radiologists to refer to axial anatomy.",transaxial
What anatomical term is synonymous with 'cranial' when discussing the orientation of structures towards the head?,Superior
