What type of joint unites the vertebral bodies from $C2$ to the sacrum?,Secondary cartilaginous joints (symphyses).
Which structure serves as the primary bond between adjacent vertebral bodies?,Intervertebral disc.
The outer lamellated portion of an intervertebral disc is called the _____.,Anulus fibrosus.
"What is the name of the inner, highly elastic core of the intervertebral disc?",Nucleus pulposus.
"In the cervical and lumbar regions, intervertebral discs are thicker _____.",Anteriorly.
What describes the thickness of intervertebral discs in the thoracic region?,Nearly uniform.
The hyaline cartilage layers on the surfaces of vertebral bodies are known as _____.,Vertebral end-plates.
What is the anatomical name for the synovial joints between vertebral articular processes?,Zygapophyseal (or facet) joints.
Which joints are specifically found between the uncinate processes of $C3$ to $C7$?,Uncovertebral joints (joints of Luschka).
Classification of facet joints in the cervical and thoracic regions?,Simple synovial.
Classification of facet joints in the lumbar region?,Complex synovial.
What is 'lumbar articular tropism'?,Asymmetrical orientation of the facet joints.
Which ligaments unite the anterior and posterior aspects of vertebral bodies?,Anterior and posterior longitudinal ligaments.
"The joints between vertebral laminae, transverse processes, and spinous processes are classified as _____ joints.",Fibrous.
What nerves copiously innervate the facet joints?,Medial branches of the dorsal primary rami.
Concept: Motion Segment,Definition: A functional spinal unit consisting of two vertebrae and their interposed disc and ligaments.
Which specialized joints permit horizontal and vertical scanning movements of the head?,Craniovertebral joints.
The articulation between the occipital condyles and the atlas forms the _____ joints.,Atlanto-occipital.
What is the primary movement permitted by the atlanto-occipital joints?,Flexion (approximately $18^{\circ}$).
The atlanto-axial complex comprises how many total synovial joints?,Three.
The median atlanto-axial joint is classified as which type of synovial joint?,Pivot joint.
Which structure forms a ring around the dens alongside the anterior arch of the atlas?,Transverse ligament of the atlas.
Which vital structure is located immediately posterior to the median atlanto-axial joint?,Spinal cord.
How does the lumbosacral junction ($L5$-$S1$) differ from typical intervertebral joints regarding the facet joints?,The synovial facet joints are separated by a wider interval.
The sacroiliac joint's mobility is sacrificed for which two functions?,Stability and strength for weight transmission.
What type of cartilage covers the sacral surface of the sacroiliac joint in adults?,Hyaline cartilage.
Which joint serves as the anterior articulation of the pelvic girdle?,Pubic symphysis.
The pubic symphysis is classified as a _____ joint.,Secondary cartilaginous.
Which ligament is absent in the 1st and 10th-12th costovertebral joints?,Intra-articular ligament.
Where does the intra-articular ligament of a costovertebral joint attach medially?,Intervertebral disc.
Which ligament connects the anterior part of a rib head to the bodies of two vertebrae?,Radiate ligament.
"In the thoracic region, the anterior concavity of the spine is primarily due to _____.",The shape of the vertebral bodies.
"Which ligaments, when ruptured, result in an increase of rotation by about a third to the opposite side?",Alar ligaments.
Pathological softening of the transverse ligament of the atlas can lead to _____.,Atlanto-axial subluxation.
What characterizes 'pseudosubluxation' in children's radiographs of the upper cervical spine?,A deceptive appearance of subluxation caused by ligamentous laxity and facet orientation.
The primary stabilization of the vertebral column against horizontal gliding (shear) is provided by _____.,Facet joints.
Which joints are located between the costal head and the demifacets of adjacent thoracic vertebrae?,Costovertebral joints.
"In the thoracic spine, which extrinsic factors provide additional stability?",The thoracic cage and ligamentous linkages with the ribs.
Which ligament attaches to the upper borders and lower anterior surfaces of the laminae?,Ligamenta flava.
What forms the posterior boundary of an intervertebral foramen?,Capsule of the synovial facet joint.
What movement is primarily resisted by the alar ligaments?,Head flexion and rotation.
The intervertebral discs account for approximately _____ of the vertebral column's total length in young adults.,One quarter.
Which segment of the sacrum contains a concavity that fits an iliac convexity to relieve ligamentous strain?,Middle segment.
The term 'zygapophyses' refers to the _____.,Superior and inferior articular processes.
What defines the 'coupled' nature of spinal movements?,"Movement in one plane (e.g., lateral flexion) automatically induces movement in another (e.g., rotation)."
Where is the synovial membrane of a facet joint located?,It lines the fibrous capsule and attaches to the periphery of articular cartilages.
"In the lumbar region, the synovial membrane of the facet joint is reflected over _____.",Intracapsular structures.
The anterior atlanto-occipital membrane connects the foramen magnum to which structure?,Upper border of the anterior arch of the atlas.
The median atlanto-axial joint's pivot consists of the dens and which other bony structure?,Anterior arch of the atlas.
What type of joint is the superior tibiofibular joint?,Plane synovial joint.
The inferior tibiofibular joint is classified as a _____ joint.,Fibrous.
Which joint permits slight rotation of the fibula linked to ankle motion?,Inferior tibiofibular joint.
Under what condition can the sacroiliac joint and pubic symphysis move slightly in females?,During childbirth (parturition).
Which ligament strengthens the costovertebral joint capsule anteriorly?,Radiate ligament.
The 'joint of Luschka' is another name for the _____ joint.,Uncovertebral.
Which vertebral level marks the typical start of uncovertebral joints?,$C3$.
What is the primary role of the fibrous capsules in the atlanto-occipital joints?,Surrounding the occipital condyles and superior atlantal articular facets.
Which structure lies posteromedially to the atlanto-occipital joints?,Dorsal primary ramus of the first cervical nerve.
The ligamentum nuchae serves as a factor maintaining stability in which joint group?,Craniovertebral joints.
Which synovial joint allows the patella to move over the distal femur?,Patellofemoral joint.
