Why is the term 'voluntary muscle' considered a misleading synonym for skeletal muscle?,"Many skeletal muscles, such as those involved in breathing or swallowing, are typically driven at an unconscious level."
"According to the source, what property makes cardiac muscle distinct from skeletal muscle regarding endurance?",Cardiac muscle is far more resistant to fatigue.
Muscle Nomenclature: What does the term 'Teres' describe about a muscle's shape?,Round.
Muscle Nomenclature: What does the term 'Gracilis' describe about a muscle's shape?,Slender.
Muscle Nomenclature: What does the term 'Rectus' describe about a muscle's architecture?,Straight.
Muscle Nomenclature: Which term is used to describe a muscle with 'two bellies'?,Digastric.
Muscle Nomenclature: Contrast the terms 'Superficialis' and 'Profundus' regarding muscle depth.,"Superficialis refers to a superficial muscle, while Profundus refers to a deep muscle."
What determines the range of contraction generated by an active muscle?,The relative motion possible between the overlapping arrays of thick and thin filaments in each sarcomere.
How does the 'strap-like' muscle architecture compare to 'pennate' construction in terms of range of motion?,Strap-like muscles are capable of a larger range of contraction because their fibres are predominantly parallel to the line of pull.
How does the 'pennate' muscle architecture compare to 'strap-like' muscles in terms of force production?,"Pennate construction allows for a larger total cross-sectional area, enabling much greater force development."
Define the functional role of a 'prime mover' in natural movements.,A muscle consistently active in initiating and maintaining a specific movement.
What is the primary role of an 'antagonist' muscle during the deceleration phase of a limb movement?,It activates units to arrest the motion initiated by the prime mover.
How is 'electromyography' (EMG) used to study muscle action?,It records the electrical activity that accompanies mechanical contraction in both superficial and deep muscles.
Contrast the anatomical terms 'origin' and 'insertion' based on attachment mobility.,"The origin is the stable, typically more proximal attachment, while the insertion is the more mobile, distal attachment."
"In the biomechanics of muscle force, what does the 'turning moment' (M) represent?",The product of the muscle force (F) and the length of the moment arm (L).
The reactive force at a joint can be resolved into two components: the normal component (F_{c}) and the _____ component (F_{s}).,Tangential (representing shear)
Why is it difficult to identify the original spinal segments of limb muscles using only developmental studies?,"Limb muscles develop in situ in the mesodermal cores, making their original segments impossible to track visually."
Which upper limb muscles are suggested to play a significant role in proprioception due to their long fibre length and high density of muscle spindles?,Lumbricals.
How is the lumbrical-interosseous muscle complex clinically tested?,The examiner holds the MCP joint in hyperextension while the subject extends the interphalangeal joints against resistance.
How does the developmental medial rotation of the lower limb affect the adult position of the flexor muscles?,"It places the flexors on the posterior aspect of the limb, except at the hip."
"In contrast to the upper limb, what is the fixing-mobile relationship of lower limb muscle attachments during stance?",The distal attachment is often fixed while the proximal attachment remains mobile.
What is the predominant functional role of the gluteus medius during human locomotion?,It acts as a pelvic stabilizer.
Which spinal cord segments are tested by the 'knee jerk' reflex?,L2-4.
Which spinal cord segments are tested by the 'ankle jerk' reflex?,"S1, 2."
"According to Table 110.3, what are the segmental roots for hip flexion, adduction, and medial rotation?",L1-3.
What are the primary segmental roots for knee extension?,"L3, 4."
What are the primary segmental roots for ankle dorsiflexion?,"L4, 5."
"Which spinal root is the principal supply for the Tibialis anterior, a key muscle for ankle dorsiflexion?",L4.
Which muscle and root level are tested to assess the Babinski reflex (big toe extension)?,Extensor hallucis longus (L5).
Identify the primary role of the Obturator externus during the swing phase of vertical climbing.,Lateral rotation of the thigh.
What is the suggested postural function of short hip muscles like the gemelli and quadratus femoris?,They act as adjustable ligaments to maintain the stability and integrity of the hip joint.
What movement is produced by the muscles of the anterior or extensor compartment of the leg?,Dorsiflexion (extension) of the ankle.
Which muscle is essential for maintaining the medial longitudinal arch of the foot by acting as a 'bowstring'?,Flexor hallucis longus.
What clinical condition often accompanies the failure of the tibialis posterior tendon?,Collapse of the medial longitudinal arch of the foot.
Define 'Inversion' as a plane of motion in the foot.,Tilting the plantar surface of the foot towards the midline in the coronal plane.
Define 'Eversion' as a plane of motion in the foot.,Tilting the plantar surface of the foot away from the midline in the coronal plane.
At which joints does abduction and adduction of the foot primarily occur?,Transverse tarsal joints.
What is the function of 'fixator' muscles in a movement group?,They provide a stable base for the action of other muscles by eliminating unwanted components of movement.
"Why must the functional roles implied by muscle names (e.g., flexor) be interpreted with caution?",A muscle may play different roles depending on the movement or the influence of gravity.
Which physical parameter is measured to differentiate between 'power' and 'force' in muscle physiology?,Velocity (power is the rate at which a muscle performs external work).
"In the context of muscle architecture, what is the 'angle of pennation'?",The angle at which muscle fibres are set relative to the axis of the tendon.
How does the 'gearing' effect of pennation facilitate muscle function?,"It allows an internal exchange of fibre length for total fibre area, favoring force over range of contraction."
"Which diagnostic muscle is preferentially used to test the L1, 2 nerve roots via hip flexion?",Iliopsoas.
"Which diagnostic muscle is tested to determine a lesion at the S1, 2 root level via ankle plantarflexion?",Gastrocnemius/soleus.
"What determines the maximum force a muscle can generate, excluding skill and coordination?",The total cross-sectional area of the muscle fibres.
The 'windlass' mechanism of the foot heightens the arch during which specific toe movement?,Dorsiflexion of the hallux (big toe).
Muscle Nomenclature: Which term describes a 'diamond-shaped' muscle?,Rhomboid.
Muscle Nomenclature: What does the term 'Latissimus' signify regarding muscle size?,Broadest.
Muscle Nomenclature: What does the term 'Brevis' signify regarding muscle size?,Short.
What is the primary role of 'synergist' muscles in a movement?,They act as fixators or provide balanced reactions to ensure stability and coordination.
Why is it often functionally meaningless to define an 'origin' and 'insertion' for muscles like the rectus abdominis?,It is difficult to identify one attachment as consistently more mobile than the other.
"According to Gray's, what are the three main arches recognized in the human foot?","Medial longitudinal, lateral longitudinal, and transverse."
Which muscle group in the leg is primarily responsible for eversion of the foot?,The lateral group (peronei).
"In the upper limb, how many segments of the spinal cord usually innervate a single muscle?",Most limb muscles are innervated by neurones from more than one segment.
Movement in the sagittal plane at the ankle is referred to as _____ and _____.,Plantar flexion; dorsiflexion
What biomechanical component is represented by F_{c} when a muscle generates a reactive force at a joint?,Reaction to compression (normal component).
What biomechanical component is represented by F_{s} when a muscle generates a reactive force at a joint?,Reaction to shear (tangential component).
"According to the source material, which muscles are consistently active in 'initiating and maintaining' a movement?",Prime movers.
"In terms of nomenclature, what does 'Triceps' indicate about a muscle's structure?",Three heads.
