What anatomical structure separates the two halves of the nasal cavity in the midline?,The nasal septum.
The nasal cavity is continuous posteriorly with the nasopharynx through which apertures?,The posterior nasal apertures (choanae).
Which region of the nasal cavity is described as the slightly expanded anterior part just inside the naris?,The nasal vestibule.
The nasal vestibule is lined with skin containing coarse hairs called _____.,Vibrissae
What specific feature marks the boundary between the skin of the vestibule and the nasal mucosa?,The limen nasi (nasal valve).
The respiratory region of the nasal cavity is primarily lined by _____ epithelium.,Pseudostratified ciliated (respiratory) epithelium.
Where is the chemosensory olfactory area located within the nasal cavity?,Posterosuperiorly.
The central horizontal part of the nasal roof is formed by which bone?,The cribriform plate of the ethmoid bone.
Which two bones primarily form the bony part of the nasal septum?,The vomer and the perpendicular plate of the ethmoid bone.
The floor of the nasal cavity is constituted by the upper surface of the _____.,Hard palate.
Which suture crosses the floor of the nasal cavity at the junction of its middle and posterior thirds?,The palatomaxillary suture.
What is the name of the paired accessory olfactory organ located near the lower edge of the septal cartilage that is considered vestigial in humans?,The vomeronasal organ.
"The lateral wall of the nasal cavity is characterized by three curved, bony shelves called _____.",Conchae (turbinates).
The space located beneath and lateral to each nasal concha is known as a _____.,Meatus
Into which specific meatus does the nasolacrimal duct open?,The inferior meatus.
"The sphenoethmoidal recess, located above the superior concha, receives the opening of which sinus?",The sphenoidal sinus.
"Which artery is the main source of blood supply to the nasal mucosa, passing through the sphenopalatine foramen?",The sphenopalatine artery.
Kisselbach's plexus is a highly vascular area located on the anterior part of the _____.,Nasal septum.
"General sensation (touch, pain, temperature) of the nasal mucosa is mediated by which cranial nerve division?",The trigeminal nerve (CN V).
The specialized cells responsible for the sense of smell are called _____.,Olfactory receptor neurons.
What is the primary function of the nasal conchae in relation to inspired air?,"To increase surface area and turbulence to warm, humidify, and filter air."
Which paranasal sinus is the largest and occupies the body of the maxilla?,The maxillary sinus.
The apex of the maxillary sinus extends into which process of the maxilla?,The zygomatic process.
The floor of the maxillary sinus is closely related to the roots of which specific teeth?,The second premolar and first molar.
Which paranasal sinuses are situated posterior to the superciliary arches between the tables of the frontal bone?,The frontal sinuses.
Frontal sinuses typically communicate with the middle meatus via the _____ canal.,Frontonasal
The ethmoidal sinuses are divided into which three groups based on their location and drainage?,"Anterior, middle, and posterior ethmoidal sinuses."
Which thin bony plate separates the ethmoidal sinuses from the orbit?,The lamina papyracea.
Where do the posterior ethmoidal sinuses typically open into the nasal cavity?,The superior meatus.
The sphenoidal sinuses are located within the body of which bone?,The sphenoid bone.
Which vital structures are related to the lateral wall of the sphenoidal sinus?,The internal carotid artery and the cavernous sinus.
"The most common type of sphenoidal sinus pneumatization, where the sinus extends beyond the tuberculum sellae, is called _____.",Sellar
What anatomical landmark is considered most appropriate for identifying the natural ostium of the sphenoid sinus during surgery?,The posteroinferior end of the superior turbinate.
Which mechanism is responsible for clearing mucus from the paranasal sinuses towards the nasal cavity?,The mucociliary escalator (ciliary action).
"Obstruction of which complex, containing the middle meatus and hiatus semilunaris, often leads to sinusitis?",The osteomeatal complex.
Which paranasal sinus is most visible below and in front of the hypophyseal fossa in a lateral radiograph?,The sphenoidal sinus.
Suppuration in the paranasal sinuses is often a consequence of infection spreading from the _____.,Nasal cavity.
The arterial supply to the frontal sinus is derived from the _____ and anterior ethmoidal arteries.,Supraorbital
Which nerve provides sensory innervation to the frontal sinus?,The supraorbital branch of the ophthalmic nerve (V_{1}).
The sphenopalatine artery enters the nasal cavity through which foramen?,The sphenopalatine foramen.
The 'nasal cycle' refers to periodic alterations in _____ caused by vascular changes in the nasal mucosa.,Airflow rate (through the nasal passages).
The major alar cartilage consists of a medial crus and a _____ crus.,Lateral
What is the primary histological difference between the mucosa of the paranasal sinuses and the nasal cavity?,"Sinus mucosa is thinner, less vascular, and has fewer goblet cells."
Which bones articulate to form the anterior nasal aperture (piriform aperture) in a macerated skull?,The nasal bones and the maxillae.
The horizontal plates of which bones form the posterior part of the hard palate?,The palatine bones.
What structure separates the two posterior nasal apertures (choanae) in the midline?,The posterior border of the vomer.
Which foramen transmits the nasopalatine nerve from the pterygopalatine fossa to the nasal septum?,The sphenopalatine foramen.
The _____ organs are branched tubuloalveolar structures that secrete fluid to dissolve odorant molecules.,Olfactory (Bowman's) glands
What is the typical lifespan of an olfactory receptor neuron?,1-3 months.
"Which clinical condition, characterized by ciliary dysfunction, often leads to recurrent sinus and respiratory infections?",Kartagener's syndrome.
