"In the conventional 'anatomical position', which direction do the palms of the hands face?",Forward (anterior).
Which anatomical plane passes longitudinally through the body to divide it into right and left halves?,The median plane.
How does the coronal plane divide the human body?,Into anterior (front) and posterior (back) portions.
What term do radiologists specifically use to refer to the transverse plane?,Axial (or transaxial).
"Conventionally, from what perspective is axial anatomy viewed on clinical images?",Looking from the feet towards the head.
"In mature bone, organic materials (mainly collagen) constitute approximately what percentage of the total dry weight?",40\%.
What inorganic salts primarily compose the remaining 60\% of the mature bone matrix?,Calcium and phosphate.
From which specific embryonic cell type are all cells of the musculoskeletal system derived?,Mesenchymal stem cells.
The skull is composed of two primary parts: the neurocranium and the _____.,Viscerocranium.
What embryonic cell population is the sole source of the viscerocranium (facial skeleton)?,Neural crest cells.
Skull bones that form by ossifying directly from mesenchymal condensations undergo _____ ossification.,Intramembranous.
The bones forming the base of the skull primarily develop through which type of ossification?,Endochondral ossification.
"Functionally, what is the role of the neurocranium?","Surrounding and protecting the brain, eyes, and inner/middle ears."
"Excluding the 6 ossicles of the middle ear, how many separate bones compose the human skull?","22 (Note: The source text mentions 28 separate bones, likely including the ossicles and paired bones)."
What anatomical term describes the layer of cancellous bone found between the inner and outer tables of the skull?,Diploë.
How does the thickness of the 'inner table' of the skull compare to the 'outer table'?,It is thinner and more brittle.
What is the average cranial capacity of the adult human skull?,1400 ml.
Which specific fibrous joints hold the majority of the skull bones together?,Sutures.
At what approximate age does the spheno-occipital synchondrosis typically disappear?,14-16 years of age.
The skull articulates with the first cervical vertebra at the synovial _____ joints.,Atlanto-occipital.
Rotation of the skull occurs primarily at the joint between which two specific vertebrae?,The first (C1) and second (C2) cervical vertebrae (atlanto-axial joint).
What is the external layer of the dura mater that lines the internal bones of the cranial cavity called?,Endocranium.
The occipital bone encloses which large aperture that allows the passage of the spinal cord?,Foramen magnum.
List the four morphological parts of the occipital bone relative to the foramen magnum.,"Basilar, squamous, and two lateral (condylar) parts."
Which specific structure found in typical vertebrae is completely absent in the Atlas (C1)?,The vertebral body (and spinous process).
The axis (C2) is characterized by a strong cranial projection called the dens or the _____.,Odontoid process.
What is the mean length of the adult dens (C2)?,15 mm.
To which part of the dens are the alar ligaments attached?,The flattened posterolateral surfaces (above the transverse ligament groove).
The axis typically ossifies from _____ primary and _____ secondary centers.,5 primary; 2 secondary.
At what approximate age does the apical center of the dens fuse with the main mass?,The 12th year.
Which lumbar vertebra feature marks the posteroinferior aspect of the root of each transverse process?,The accessory process.
On which part of a lumbar vertebra is the mammillary process located?,The posterior border of the superior articular process.
What is the characteristic shape of the vertebral foramen at the lumbar level?,Triangular.
How is the lumbar spinous process described in terms of orientation and shape?,"Horizontal, quadrangular, and thickened along its borders."
The sacrum is formed by the fusion of how many rudimentary vertebrae?,Five.
What is the primary mechanical function of the 'posterior arch' of the skeletal pelvis?,"Transmitting the weight of the head, trunk, and upper limbs to the lower limbs."
The coccyx most commonly consists of how many fused rudimentary vertebrae?,Four (range of 3-5).
"In the classification of cervical development, what does 'Z' represent in the atlantoaxial region?",The centrum of the axis.
Failure of fusion between the apical odontoid epiphysis (X) and the YZ complex results in what clinical anomaly?,Ossiculum terminale.
What is the term for the condition where the dens lies at or above the level of the foramen magnum due to decreased skull base height?,Basilar invagination.
"Which embryonic tissue gives rise to the axial skeleton, including the vertebrae and ribs?",Paraxial mesoderm (mesenchyme).
What is the clinical term for the failure of the XY complex to fuse with Z at the dentocentral synchondrosis?,Os odontoideum.
The _____ plane is parallel to the median plane but situated to one side.,Sagittal.
Where is the pharyngeal tubercle located on the occipital bone?,On the inferior surface of the basilar part (basioccipital).
The internal occipital protuberance marks the 'confluence of the _____' internally.,Sinuses.
Which structure contributes to the formation of the intervertebral foramen alongside the vertebral notches?,The intervertebral disc (and facet joint capsule).
The Atlas (C1) transverse processes are homologous with which part of a typical cervical vertebra?,The posterior tubercle.
At what embryonic week do the primary ossification centers usually appear in the lateral masses of the Atlas?,The 7th week.
"The body of the axis is composite, consisting of the fused centra of which two vertebrae?",The Atlas (C1) and the Axis (C2).
What is the typical orientation of the inferior articular facets of a lumbar vertebra?,"Vertical and convex, facing anterolaterally."
Which two bones meet to form the spheno-occipital synchondrosis?,The sphenoid and the occipital bone (basilar part).
What is the primary role of the anterior arch of the pelvis in terms of mechanical stress?,Acting as a compression strut against medial femoral thrust.
"In the context of skull anatomy, what is the 'calvaria'?",The skullcap or upper dome-like part of the cranial vault.
The vertebral arch is composed of two _____ ventrally and two _____ dorsally.,Pedicles; laminae.
Which cervical vertebra lacks a lamella to form the anterior wall of the foramen transversarium in some individuals?,The Atlas (C1).
The _____ ligament arises from the pointed apex of the dens.,Apical.
Where does the anterior longitudinal ligament attach on the axis?,The triangular downward-projecting anterior border of the body.
"Which part of the lumbar vertebra is noted for being thin and long, except for the fifth pair?",The transverse processes.
What defines a 'synostosis' in the context of skull development?,The fusion across sutures (commencing around 30 years of age).
Which suture is typically one of the first to be affected by the process of fusion?,The sagittal suture.
The internal occipital crest provides an attachment point for which dural fold?,The falx cerebelli.
What is the landmark for the confluence of the transverse and superior sagittal sinuses internally?,Internal occipital protuberance.
Which vertebrae are distinguished by the total absence of costal facets and transverse foramina?,Lumbar vertebrae.
How does the size of the vertebral body change from the second cervical to the third lumbar vertebra?,There is a cephalocaudal increase in width.
The _____ ligament is attached to the broad groove on the posterior surface of the dens.,Transverse ligament of the atlas.
