"In the 'anatomical position', which direction are the palms facing?",Forwards
Which imaginary plane divides the body into right and left halves?,The median plane
What anatomical plane is orthogonal to the median plane and divides the body into anterior and posterior parts?,The coronal plane
What term do radiologists use to refer to the transverse plane?,(Trans)axial
"In descriptive anatomy, what term is used as a synonym for 'superior' when referring specifically to the head?",Cranial
What term indicates that a structure is closer to the midline than another structure?,Medial
"When referring to limbs, what term describes a structure that is closer to the attachment of the limb to the trunk?",Proximal
Which anatomical term refers to a structure on the same side of the body as another?,Ipsilateral
Why is 'voluntary muscle' considered a misleading term for skeletal muscle?,Many skeletal muscles participate in unconscious movements like breathing or blinking.
"Compared to skeletal muscle, how does cardiac muscle rank in terms of fatigue resistance?",It is far more resistant to fatigue.
What is the approximate power output of cardiac muscle per kilogram?,3-5 watts per kilogram
Term: Deltoid,Definition: A muscle name based on its triangular shape.
Term: Quadratus,Definition: A muscle name indicating a square shape.
"In muscle nomenclature, what does the term 'gracilis' mean?",Slender
What does the term 'rectus' indicate about the orientation of a muscle's fibers?,They are straight.
Term: Latissimus,Definition: A muscle name indicating it is the 'broadest'.
Which prefix is used in muscle naming to indicate a position 'below' a structure?,Infra-
What does the term 'brachii' indicate about a muscle's position?,It is located in the arm.
The midline ventral portion of the intraembryonic coelom becomes which body cavity?,The pericardial cavity
Which embryonic canals later develop into the pleural cavities?,Pericardioperitoneal canals
What functions as the 'primitive circulation' in the early embryo until the blood vascular system is established?,Circulation of coelomic fluid
Term: Mesothelium,Definition: The lining of a body cavity derived from the coelomic epithelium.
Which embryonic germinal epithelia give rise to early patterning and are termed 'organizers'?,"Early germinal epithelia (e.g., the primitive streak)"
"In the cervical region, the median furrow lies between the prominences of which muscles?",Semispinalis muscles
The broad elevation lateral to the median furrow in the thoracic and lumbar regions is produced by which muscle group?,Erector spinae
Which muscle is the most superficial posterior muscle connecting the pectoral girdle to the axial skeleton?,Trapezius
Which posterior muscles are responsible for raising the shoulder and drawing the scapula medially?,"Trapezius, levator scapulae, and the rhomboids"
Which two muscles run from the axial skeleton to the humerus and act as powerful adductors and medial rotators?,Latissimus dorsi and pectoralis major
Which nerve innervates the rhomboid muscles?,Dorsal scapular nerve
The long thoracic nerve provides motor supply to which muscle?,Serratus anterior
Which spinal nerve roots contribute to the innervation of the latissimus dorsi?,"C6, 7, \text{ and } 8"
Which nerve innervates the subscapularis muscle?,Upper and lower subscapular nerves
The pectoralis major muscle receives innervation from which nerves?,Medial and lateral pectoral nerves
Which head of the pectoralis major is primarily responsible for horizontal adduction of the humerus?,The clavicular head
The thoracodorsal nerve arises from which cord of the brachial plexus?,The posterior cord
"Which muscle is stretched over the inferior scapular angle during humeral elevation, keeping it against the chest wall?",Latissimus dorsi
What is the primary action of the serratus anterior and trapezius together during arm abduction?,They rotate the scapula.
"In the male, where is the nipple usually situated in relation to the ribs?",The fourth intercostal space
Which skeletal landmark is found at the superior end of the sternum?,The jugular notch
The sternal angle (angle of Louis) is a landmark indicating the medial ends of which ribs?,The second costal cartilages
The xiphisternal joint usually lies at the level of which thoracic vertebra?,The ninth thoracic vertebra (T9)
Which muscle is deep to the rhomboids and arises from the spines of C7 to T2/T3?,Serratus posterior superior
What is the primary muscle involved in changing thoracic volume during breathing?,The diaphragm
How do the intercostal muscles contribute to the mechanism of breathing?,They maintain the rigidity of the chest wall.
Which muscles act as accessory muscles of ventilation by elevating or depressing the ribs?,"External/internal intercostals, transversus thoracis, subcostales, levatores costarum, and serratus posterior superior/inferior"
Which nerve innervates the serratus posterior superior?,"The second, third, fourth, and fifth intercostal nerves"
The midclavicular line passes through the costal margin just lateral to which landmark?,The tip of the ninth costal cartilage
Where does the umbilicus usually lie in a supine adult in relation to the spine?,At the level of the disc between L3 and L4
Which three muscles constitute the lateral muscles of the abdomen?,"External oblique, internal oblique, and transversus abdominis"
The 'tendinous intersections' are structural features of which abdominal muscle?,Rectus abdominis
List the three typical levels for the tendinous intersections of the rectus abdominis.,"The xiphoid process, the umbilicus, and midway between the two"
Which clinical condition results from a congenital absence of the anterolateral abdominal muscles?,Prune belly syndrome
Which muscles of the abdomen are primarily responsible for increasing intra-abdominal pressure during coughing or vomiting?,The anterolateral abdominal muscles
"When the pelvis is fixed, what is the primary movement caused by the rectus abdominis?",Anterior flexion of the trunk
Which muscle group provides lateral flexion and rotation of the trunk against resistance?,The oblique muscles (unilateral contraction)
The quadratus lumborum muscle is broader at its _____ attachment than its _____ attachment.,inferior; superior
To which bone does the superior attachment of the quadratus lumborum connect?,The twelfth rib (and L1-L4 transverse processes)
Quadratus lumborum receives motor innervation from which spinal nerves?,Ventral rami of T12 and the upper three or four lumbar nerves
"In terms of ventilation, what is the role of the quadratus lumborum?",It fixes the last rib to stabilize the lower attachments of the diaphragm.
Which specific muscle is described as having its first digitation attached to the first rib and its second digitation to the second rib?,Serratus anterior
What is the primary action of the external intercostal muscles during inspiration?,They elevate the ribs to increase the width of the thoracic cavity.
Quiet breathing expiration results from what physical process?,Passive recoil of the lungs and rib cage
Which abdominal muscle layer is the deepest of the three lateral muscles?,Transversus abdominis
The aponeurosis of which muscle forms the superficial inguinal ring?,External abdominal oblique
Which nerve supplies the diaphragm?,"The phrenic nerve (C3, C4, C5)"
The central tendon is a structural component of which muscle of respiration?,The diaphragm
Which muscles are recruited for forced expiration by depressing the lower ribs and compressing abdominal contents?,"Abdominal muscles (Rectus, Obliques, Transversus) and internal intercostals"
Which muscle originates from the pubic symphysis and pubic crest to insert into the xiphoid process and costal cartilages 5-7?,Rectus abdominis
"The internal intercostal muscles, except for their _____ parts, aid in forced expiration.",interchondral
Which accessory muscle of inspiration elevates the sternum and clavicle?,Sternocleidomastoid
Identify the posterior abdominal wall muscle that lies lateral to the psoas major.,Quadratus lumborum
Which landmark forms the posterolateral boundary of the abdominal wall?,The midaxillary line
The subcostal nerve lies on the fascia anterior to which posterior abdominal muscle?,Quadratus lumborum
Which muscle connecting the upper limb to the axial skeleton acts as a powerful extensor of the shoulder?,Latissimus dorsi
Which muscle's name literally means 'worm-like'?,Lumbrical
Skeletal muscles like the intercostals are innervated by which division of the nervous system?,"Somatic (often referred to as voluntary, though functioning unconsciously in breathing)"
Which muscle is specifically involved in 'backward swinging of the arm' during walking?,Latissimus dorsi
"Identify the thin, quadrilateral muscle external to the upper posterior thorax that may be absent in some individuals.",Serratus posterior superior
The external oblique muscle's fibers generally run in which direction relative to the internal oblique?,Perpendicular (at roughly 90 degrees to each other)
The xiphisternal process is a landmark for which vertical plane of the body?,The midline
