What anatomical structure defines the boundary between the oral cavity and the oropharynx?,Anterior pillars of the fauces
The oral cavity is subdivided into the oral cavity proper and the _____.,Vestibule
Which muscle group forms the floor of the mouth?,Mylohyoid muscles
What structures form the lateral walls of the mouth?,Cheeks and retromolar regions
The palate serves as the roof of the mouth and separates the oral cavity from the _____.,Nasal cavity
Which three pairs of major salivary glands open into the mouth?,"Parotid, submandibular, and sublingual glands"
What is the primary function of the mouth in relation to the digestive system?,Ingestion and mastication of food
"Beyond digestion, what are the two secondary functions of the mouth?",Phonation and ventilation
What term describes the ectopic sebaceous glands often seen as yellow patches in the cheek mucosa?,Fordyce's spots
Where does the parotid duct open into the vestibule of the mouth?,Opposite the maxillary second molar tooth
What is the 'linea alba' in the context of oral anatomy?,A hyperkeratinized line on the cheek mucosa related to the occlusal plane
The pterygomandibular raphe is a fold of mucosa extending between which two alveolar regions?,The upper and lower alveoli
Which nerve block is performed by injecting lateral to the pterygomandibular fold?,Inferior alveolar nerve block
Which artery provides the principal blood supply to the cheek?,Buccal branch of the maxillary artery
Sensory innervation to the skin of the cheek is provided by branches of the _____ division of the trigeminal nerve.,Maxillary
The buccolabial group of muscles is embryologically derived from which branchial arch?,Second branchial arch
All muscles of facial expression are innervated by which cranial nerve?,Facial nerve (CN VII)
Why do facial muscles differ from most other muscles regarding their insertion?,They insert directly into the skin because there is no deep membranous fascia
What is the primary functional role of the muscles grouped around the facial orifices?,To act as sphincters and dilators
Which muscle acts as a compound sphincter for the mouth?,Orbicularis oris
Which muscle is known as the 'trumpeter's muscle' because it expels air from distended cheeks?,Buccinator
The buccinator muscle originates from the alveolar processes of the maxilla and mandible and the _____.,Pterygomandibular raphe
Where do the central fibres of the buccinator muscle intersect before entering the lips?,Modiolus
What is the primary action of the buccinator during mastication?,Compressing the cheek against the teeth to keep food between them
Which branch of the facial nerve (CN VII) specifically innervates the buccinator muscle?,Buccal branch
What structure separates the posterior part of the buccinator from the ramus of the mandible and masseter?,Buccal pad of fat
Which muscle draws the angle of the mouth downwards and laterally to express sadness?,Depressor anguli oris
Which muscle raises the base of the lower lip and wrinkles the skin of the chin?,Mentalis
The mentalis muscle is innervated by which specific branch of the facial nerve?,Mandibular branch
Which muscle draws the lower lip downwards and laterally during masticatory activity?,Depressor labii inferioris
Which muscle is responsible for raising the angle of the mouth during smiling?,Levator anguli oris
The modiolus is centered approximately _____ mm lateral to the buccal angle.,12
Which tissue space lies between the skin and the superficial surface of the buccinator muscle?,Buccal tissue space
The infraorbital tissue space lies between which two muscles?,Levator labii superioris and levator anguli oris
Which group of head muscles is primarily concerned with movements of the temporomandibular joint (TMJ)?,Masticatory muscles
Which two masticatory muscles are visible on the face?,Masseter and temporalis
Which masticatory muscle covers the ramus of the mandible?,Masseter
"The four principal muscles of mastication are the masseter, temporalis, medial pterygoid, and _____.",Lateral pterygoid
Masticatory muscles are innervated by which division of the trigeminal nerve (CN V)?,Mandibular division (V_3)
The pterygomandibular space is located between the medial surface of the mandibular ramus and which muscle?,Medial pterygoid
Which tendon passes through the gap behind the tendinous band of the buccinator to reach the soft palate?,Tensor veli palatini
"The sublingual papilla, where the submandibular ducts open, is located at the base of the _____.",Lingual frenum (or tongue)
Which structure connects the posterior margin of the pterygomandibular raphe to the pharynx?,Superior pharyngeal constrictor
The 'lingual frenum' is a fold of tissue that connects the inferior surface of the tongue to the _____.,Floor of the mouth
What is the common site for pathologically enlarged lymph nodes related to lung cancer spread in the neck?,Supraclavicular group of nodes
Which structure marks the narrowest portion of the nasal airway?,Nasal valve
The nasal cavities communicate posteriorly with the nasopharynx through the _____.,Choanae (or posterior nasal apertures)
The musculature above the hyoid bone predominantly runs in which direction?,Horizontal or oblique
The musculature below the hyoid bone predominantly runs in which direction?,Vertical
Which muscle is primarily responsible for protruding and everting the lower lip to express doubt?,Mentalis
The parapharyngeal space is bounded medially by which muscle of the pharynx?,Superior constrictor
Which muscle's multiple insertions onto the lateral ramus of the mandible create the submasseteric spaces?,Masseter
The buccopharyngeal fascia covers the external surface of both the buccinator and the _____.,Superior pharyngeal constrictor
What is the total length of the musculomembranous tube known as the pharynx?,12-14 cm
At what vertebral level does the pharynx become continuous with the esophagus?,Sixth cervical vertebra (C6)
The oropharyngeal isthmus is bounded on both sides by the _____ arches.,Palatoglossal
"Which specific muscle allows for the integration of the activities of the cheeks, lips, and oral fissure?",Modiolus
The 'mental sling' is formed by the interlacing fibres of which paired muscles?,Depressor anguli oris
"Which branch of the facial nerve innervates the muscles of the buccolabial group, except the mentalis?",Buccal branch
The space between the teeth and the cheeks is known as the _____.,Vestibule
