The cardiovascular system redistributes and disperses what form of energy throughout the body?,Heat
"In the cardiovascular system, which vessels carry blood away from the heart to peripheral tissues?",Arteries
What mechanical effect does pulse pressure maintain in the tissues of the body?,Tissue turgidity
Lymphatic vessels originate as _____ endothelial tubes in peripheral tissues.,blind-ended
Into which part of the blood vascular system is lymph finally returned?,Large veins in the root of the neck
Which vessel forms the internal jugular vein from its cranial part during development?,Precardinal vein
What transitory channel is replaced by the primary head vein during embryonic development?,Primordial hindbrain channel
The primary head vein runs _____ to the vagus nerve before becoming continuous with the precardinal vein.,medial
Which intracranial venous array in newborns persists into adult life and anastomoses with the superficial veins?,Deep Galenic venous system
Dural venous sinuses are situated between the two layers of the _____.,dura mater
What histological feature is notably absent from the walls of dural venous sinuses?,Muscular tissue
Which vessels connect intracranial dural venous sinuses with extracranial veins through cranial apertures?,Emissary veins
The cavernous sinus is connected to the pterygoid plexus via the _____.,foramen ovale
Which artery is the largest of the meningeal arteries and enters the cranium via the foramen spinosum?,Middle meningeal artery
At what vertebral level does the common carotid artery typically divide into its external and internal branches?,Between the third and fourth cervical vertebrae ($C3$ and $C4$)
Common carotid compression can be performed against which prominent cervical transverse process?,Sixth cervical vertebra (Chassaignac's tubercle)
The internal jugular vein is located _____ to the common and internal carotid arteries within the neck.,lateral
Which superficial vein in the neck runs across the sternocleidomastoid muscle?,External jugular vein
The external jugular vein terminates by draining into the _____ vein.,subclavian
The formation of an air embolus is a clinical risk if which superficial neck vein is damaged?,External jugular vein
Which vein is formed by the union of the internal jugular and subclavian veins?,Brachiocephalic vein
The inferior bulb of the internal jugular vein is located in the depression known as the _____.,lesser supraclavicular fossa
Which artery arises from the external carotid just below the level of the greater cornu of the hyoid bone?,Superior thyroid artery
Which nerve is at risk during ligation of the superior thyroid artery due to its posteromedial position?,External laryngeal nerve
The facial artery is located _____ to the submandibular gland before curving round the mandible.,medial
At which point on the face is the facial artery pulse most easily palpated?,Where it crosses the mandibular base (anterior to masseter)
The occipital artery arises from the _____ surface of the external carotid artery.,posterior
Which cranial nerve winds round the occipital artery from behind at its origin?,Hypoglossal nerve (CN XII)
"The maxillary artery, a terminal branch of the external carotid, arises behind the _____.",neck of the mandible
Which artery provides the main blood supply to the palatine tonsil?,Tonsillar artery
The retromandibular vein is formed within the parotid gland by the union of the maxillary vein and the _____ vein.,superficial temporal
Which vein connects the facial vein near its origin with the cavernous sinus?,Superior ophthalmic vein
Clinical Target: Infection of the upper lip or canine tooth can lead to thrombosis of the _____.,cavernous sinus
Which terminal branch of the external carotid artery is at first embedded in the parotid gland before entering the pterygopalatine fossa?,Maxillary artery
The sigmoid sinus is continuous with the _____ vein at the jugular foramen.,internal jugular
Which cervical vein accompanies the vertebral artery through the cervical transverse foramina?,Vertebral vein
The jugular lymph trunk on the right side usually terminates at the _____.,jugulosubclavian junction (or right lymphatic duct)
Terminal Group: All lymph vessels of the head and neck eventually drain into the _____ nodes.,deep cervical
Which specific lymph node group is concernced with the drainage of the tongue and lies near the digastric muscle?,Jugulodigastric group
Level I cervical lymph nodes are located within which anatomical triangle?,Submandibular triangle
Level IV cervical lymph nodes are related to the lower third of which major vein?,Internal jugular vein
"The right lymphatic duct, draining the right side of the head and neck, is approximately _____ cm long.",$2-3$ cm
The jugular lymph sac appears at the junction of the subclavian vein and the _____ vein.,precardinal
"Which embryonic artery develops three branches (mandibular, maxillary, and supraorbital) and contributes to the middle meningeal artery?",Stapedial artery
The external carotid artery incorporates the stem of which transient embryonic vessel?,Ventral pharyngeal artery
Which embryonic vein drains the mandibular and hyoid arches and later becomes the linguofacial vein?,Ventral pharyngeal vein
The deep facial vein is the remnants of a connection between the facial vein and the primitive _____ vein.,maxillary
"Which vein forms a venous ring around the clavicle in the embryo, with its deep segment becoming the subclavian vein?",Cephalic vein
The facial vein descends in the neck to drain into which large vein?,Internal jugular vein
Which vein connects the scalp to the intracranial sinuses via the mastoid and parietal foramina?,Occipital vein
The submental artery is a branch of the _____ artery in the neck.,facial
The carotid sinus is an enlargement located at the commencement of which artery?,Internal carotid artery
Which artery arises from the medial surface of the external carotid artery?,Ascending pharyngeal artery
The subclavian artery reaches its highest point approximately _____ cm above the clavicle.,c.2 cm
Where do the anterior jugular veins of each side typically join to form the jugular arch?,Just above the manubrium sterni (in the suprasternal space)
The jugulo-omohyoid node is specifically involved in the lymphatic drainage of which organ?,The tongue
Which group of axillary nodes drains into the inferior deep cervical nodes?,Lateral group (and apical group)
The thoracic duct usually terminates at the junction of the left internal jugular and _____ veins.,subclavian
The right lymphatic duct conveys lymph from the right half of the head and neck via the right _____ trunk.,jugular
Which venous plexus in the suboccipital region communicates with the occipital vein and deep cervical vein?,Internal vertebral plexus
The external jugular vein is formed by the posterior auricular vein and the _____ division of the retromandibular vein.,posterior
Which artery supplies the facial nerve within the stylomastoid foramen?,Stylomastoid artery
"The _____ vein runs downward beneath the chin, approximately a finger's breadth from the midline.",anterior jugular
What clinical sign can be observed in the supraclavicular fossa if central venous pressure is raised?,Pulsation of the great veins
Lymph from the frontal region of the scalp drains primarily to the _____ nodes.,submandibular
Vessels from the rest of the forehead and temporal region drain to the superficial _____ nodes.,parotid
Which dural venous sinus is located in the attached margin of the tentorium cerebelli?,Transverse sinus
The straight sinus is formed by the union of the inferior sagittal sinus and the _____ vein.,great cerebral (of Galen)
Which artery is at risk when ligating the superior thyroid artery?,External laryngeal nerve
Term: Angiosome,Definition: A composite block of tissue supplied by a specific source artery and its accompanying vein(s).
