The oral cavity extends from the lips and cheeks to which internal anatomical structure?,The anterior pillars of the fauces (palatoglossal arches).
Which subdivision of the mouth is located external to the teeth?,The vestibule.
Which subdivision of the mouth is located internal to the teeth?,The oral cavity proper.
What muscular structure forms the floor of the mouth?,The mylohyoid muscles.
The internal mucous surfaces of the lips are lined by what specific type of epithelium?,Thick non-keratinizing stratified squamous epithelium.
Which muscle primarily makes up the thick fibrous strand in the center of the lips?,Orbicularis oris.
What are the yellow patches sometimes found on the oral mucosa of the cheeks called?,Fordyce's spots (ectopic sebaceous glands).
"The lining mucosa of the oral cavity covers the soft palate, floor of the mouth, and which surface of the tongue?",The ventral surface.
What is the clinical term for the well-defined junction between the alveolar mucosa and the masticatory gingival mucosa?,The mucogingival junction.
Which specific mucosa appears dark red due to its proximity to underlying small blood vessels?,The alveolar mucosa.
What is the midline fold of tissue that connects the inferior surface of the tongue to the floor of the mouth?,The lingual frenum (frenulum).
The submandibular salivary ducts open into the mouth at which specific protuberance?,The sublingual papilla (or caruncle).
Which type of salivary glands are concentrated in the submucosa of the posterior half of the hard palate?,Minor mucous salivary glands.
The paired depressions flanking the midline raphe at the posterior border of the hard palate are known as _____.,Palatine foveae
The hard palate derives its principal blood supply from which artery?,The greater palatine artery.
Which artery supplies the soft palate and tonsils through the lesser palatine canals?,The lesser palatine arteries.
The oropharyngeal isthmus is bounded laterally by which anatomical arches?,The palatoglossal arches.
What action is facilitated by the approximation of the palatoglossal arches?,Deglutition (swallowing).
Which muscle forms the core of the palatoglossal arch?,Palatoglossus.
Salivary glands are classified as what type of exocrine glands?,Compound tubuloacinar glands.
What is the clinical term for a significant decrease in saliva production?,Xerostomia.
List the three pairs of major salivary glands.,"Parotid, submandibular, and sublingual glands."
What is the average total volume of saliva secreted by a human per day?,Approximately $0.5$ litres.
"In an unstimulated state, which salivary gland provides the largest percentage ($65\%$) of daily output?",The submandibular gland.
"When salivary flow is stimulated, which gland's contribution rises to approximately $50\%$ of the total output?",The parotid gland.
Which antimicrobial antibody is commonly found in secreted saliva?,$IgA$
Which salivary enzyme begins the chemical digestion of carbohydrates in the mouth?,Salivary amylase.
The serous minor salivary glands located around the circumvallate papillae are known as the _____.,Glands of Von Ebner
Which minor salivary glands are specifically located around the pharyngeal isthmus?,Palatoglossal glands.
The sublingual salivary gland and its associated ducts are sometimes referred to by what eponym?,Bartholin's.
Where are the anterior lingual glands embedded in the tongue?,Within the muscle near the ventral surface.
What is the function of the serous secretions from Von Ebner's glands?,To spread taste stimuli over taste buds and then wash them away.
"In the neonate, what subcutaneous fat mass supports the cheeks during suckling?",The suctorial pad (buccal fat pad).
The space formed between the tongue medially and the cheeks laterally during suckling is called the _____.,Lateral arcuate cavity
How does the position of the larynx in a neonate facilitate breathing while suckling?,It is elevated so the opening is directed into the nasopharynx.
What role does the oral mucosa play in the respiratory system's function?,It helps to humidify inhaled air.
The oropharynx extends from the soft palate to the upper border of which structure?,The epiglottis.
Which cranial nerve provides the primary sensory innervation to the gingivae in the upper jaw?,The maxillary nerve ($CN\ V_{2}$).
Which cranial nerve provides sensory innervation to the gingivae in the lower jaw?,The mandibular nerve ($CN\ V_{3}$).
The greater palatine artery is a branch of which part of the maxillary artery?,The third part.
What is the primary function of the minor salivary glands' secretions?,To moisten and lubricate the oral mucosa.
The palatal foveae flank which midline structure at the posterior border of the hard palate?,The midline raphe.
Which major salivary gland is situated behind and below the ramus of the mandible in the submandibular triangle?,The submandibular gland.
What type of epithelium covers the upper surface of the hard palate (floor of the nasal cavity)?,Ciliated respiratory epithelium.
The submandibular duct is also known by which eponym?,Wharton's duct.
Where does the parotid duct typically open into the vestibule of the mouth?,Opposite the second upper molar tooth.
The sublingual gland is located superior to which muscle in the floor of the mouth?,The mylohyoid muscle.
Which specific minor salivary glands are predominantly serous in nature?,Deep posterior lingual glands (and glands of Von Ebner).
Which nerve territory reaches as far forward as the gingivae lingual to the incisor teeth in the palate?,The greater palatine nerve.
What is the significance of the 'vermilion zone' of the lip?,It is the transition zone where the thin keratinized epidermis meets the oral mucosa.
Which muscle's contraction wrinkles the mucosa of the cheek when the mouth is closed?,The buccinator muscle.
The anterior two-thirds of the dorsum of the tongue is covered by which type of oral mucosa?,Specialized oral mucosa.
"Which major salivary gland is located in the preauricular region, extending over the masseter muscle?",The parotid gland.
The pharyngeal isthmus is closed off from the oral cavity by the approximation of which two structures?,The soft palate and the tongue.
What is the primary role of the sublingual fold?,It houses the sublingual salivary gland and the openings of its minor ducts.
The lesser palatine arteries anastomose with which branch of the facial artery in the soft palate?,The ascending palatine branch.
The sublingual gland is positioned between the mandible and which other muscle of the tongue?,Genioglossus.
Which specific antimicrobial enzyme in saliva targets bacterial cell walls?,Lysozyme.
The labial and buccal minor salivary glands contain elements of which two secretion types?,Mucous and serous elements.
What structure separates the oral cavity from the nasal cavity?,The palate (hard and soft).
