"In the conventional anatomical position, in what direction do the palms face?",Forwards
Which imaginary plane passes longitudinally through the body to divide it into right and left halves?,The median plane
The _____ plane is any plane oriented parallel to the median plane.,sagittal
Which plane is orthogonal to the median plane and divides the body into anterior and posterior portions?,The coronal plane
What is the term for a plane that is orthogonal to both the median and sagittal planes?,Horizontal (or transverse) plane
"In radiological 'axial' anatomy, from what perspective is the body conventionally viewed?",From the feet towards the head
Which directional term refers to a structure being nearer to the head?,Superior (or cranial)
"In embryology, which term is frequently used to refer to the tail end of the embryo?",Caudal
A structure that is closer to the midline of the body than another is described as being _____.,medial
Which terms describe the distance of a structure from the center of an organ or cavity?,External (outer) and internal (inner)
"When describing limbs, what term refers to a structure being closer to the attachment point of the limb to the trunk?",Proximal
The directional term _____ refers to a structure on the same side of the body or organ.,ipsilateral
Which term describes a structure located on the opposite side of the body relative to another?,Contralateral
What is the official guide used for anatomical nomenclature in the 39th Edition of Gray's Anatomy?,Terminologia Anatomica (1998)
"In the head, the junction of the coronal and sagittal sutures is known as the _____.",anterior fontanelle (or bregma)
At what approximate age does the anterior fontanelle typically close?,$18$ months after birth
Which bony midline prominence on the skull serves as a surface marking for the confluence of the dural venous sinuses?,External occipital protuberance
The hyoid bone lies approximately at the level of which cervical vertebra?,$C_3$
The upper border of the thyroid cartilage and the bifurcation of the common carotid artery occur at which vertebral level?,$C_3/C_4$ junction
The cricoid cartilage serves as a landmark for which cervical vertebral level?,$C_6$
Which specific cervical vertebra is known as the 'vertebra prominens' due to its easily felt spine?,$C_7$
The spine of the scapula is level with which thoracic spinous process when the arm is by the side?,The third thoracic vertebra ($T_3$)
The inferior angle of the scapula is used to localize the level of which thoracic spine?,The seventh thoracic vertebra ($T_7$)
A line connecting the summits of the iliac crests is level with the body of which lumbar vertebra?,$L_4$
Which vertebral level marks the typical termination of the adult spinal cord?,$L_1$ or $L_2$
The dural sac (theca) usually terminates at the level of which sacral segment?,$S_2$
Which abdominal plane connects the lowest points of the costal margins at the level of $L_3$?,The subcostal plane
The _____ plane joins the highest points of the iliac crests on each side at the level of $L_4$.,supracristal
Which plane connects the tubercles of the iliac crests and marks the origin of the inferior vena cava?,The transtubercular plane
Into how many regions is the abdomen divided for descriptive localization using two horizontal and two vertical planes?,Nine
"In the nine-region model of the abdomen, what is the name of the central region containing the navel?",Umbilical region
Which abdominal regions are located immediately lateral to the epigastrium?,Right and left hypochondrium
"In a supine adult, the umbilicus usually lies at the level of the intervertebral disc between _____ and _____.",$L_3$ and $L_4$
The bifurcation of the abdominal aorta occurs at the level of the _____ lumbar vertebra.,fourth ($L_4$)
"What tough, stocking-like structure constrains the musculature of the lower limb?",The fascial skeleton (or fascia lata/fascia cruris)
Name the three functional muscle compartments of the thigh.,"Anterior (extensor), posterior (flexor), and medial (adductor)"
Which functional muscle compartment of the thigh contains the quadriceps group?,Anterior (extensor) compartment
The _____ compartment of the leg is the commonest site for compartment syndrome and contains the evertor muscles.,lateral (or peroneal)
What fibrous structure separates the anterior and posterior muscles of the leg and connects the tibia to the fibula?,Interosseous membrane
The _____ of the leg passes between the superficial and deep muscles of the calf.,deep transverse fascia
The inguinal ligament runs between the anterior superior iliac spine and which other bony landmark?,The pubic tubercle
Which strap-like muscle forms the lateral boundary of the femoral triangle?,Sartorius
Which muscle's medial border forms the medial boundary of the femoral triangle?,Adductor longus
"In the neck, the common carotid artery may be compressed against the prominent transverse process of $C_6$, known as _____.",Chassaignac's tubercle
The urogenital triangle is bounded posteriorly by the _____ line.,interischial
What strong structure divides the urogenital triangle into deep and superficial perineal spaces?,The perineal membrane
Which term describes the standard posture of the hand where the palm is flat and pointing anteriorly?,Anatomical position
"The _____ surface of the hand refers to the palm, while the _____ surface refers to the back of the hand.",volar (or palmar); dorsal
"In the neck, which fascia encloses the trapezius and sternocleidomastoid muscles?",The investing layer of deep cervical fascia
"The carotid sheath encloses the internal jugular vein, the vagus nerve, and which artery?",Common carotid (or internal carotid) artery
"The _____ of the neck contains the vertebral column and prevertebral muscles, enclosed by prevertebral fascia.",musculoskeletal compartment
Where are the 'relaxed skin tension lines' (RSTLs) determined on the body?,In the direction of furrows formed when skin is relaxed
Which specific lines mark pigment differences between the extensor and flexor surfaces of the arms?,Voigt lines (or anterior axial lines)
The superficial landmark for the apex of the cervical pleura is $2.5$ cm above the middle of the medial third of the _____.,clavicle
The lower portion of the posterior triangle of the neck forms the _____ fossa.,supraclavicular
Which bony landmark is used to identify the $L_4/L_5$ interspace for a lumbar puncture?,The summits of the iliac crests
Which directional term is used to describe structures closer to the feet in general anatomical description?,Inferior
The term _____ refers to the back aspect of the trunk or the upper surface of the foot.,dorsal
"In the anatomical position, are the feet together or apart?",Together (facing forwards)
Which cervical vertebral level corresponds to the location of the oropharynx and soft palate?,$C_2$
