At what vertebral level does the trachea typically begin?,The level of the sixth cervical vertebra (C6).
The trachea extends from the larynx down to the upper border of which vertebra?,The fifth thoracic vertebra (T5).
What is the approximate length of the adult human trachea?,10-11\text{ cm}.
Which specific structure marks the origin of the trachea superiorly?,The cricoid cartilage.
"The trachea is flattened posteriorly, giving its transverse section a shape resembling the letter _____.",D
What is the typical external transverse diameter of the trachea in adult males?,c. 2\text{ cm}.
How does the tracheal diameter in children (in millimeters) relate to their age in years?,The diameter in millimeters is approximately equal to the age in years.
The anterolateral portion of the trachea is composed of incomplete rings made of _____ cartilage.,Hyaline
What is the typical number of tracheal cartilages in an adult?,16 to 20.
Which tissue completes the posterior wall of the trachea where the cartilaginous rings are deficient?,Fibroelastic tissue and smooth muscle (trachealis).
What is the name of the internal concave spur found at the distal end of the trachea where it bifurcates?,The carina.
"During deep inspiration, the tracheal bifurcation may descend to the level of which vertebra?",The sixth thoracic vertebra (T6).
"The _____ gland isthmus typically crosses the second, third, and fourth tracheal cartilages.",Thyroid
"Which structure lies immediately posterior to the trachea, separating it from the vertebral column?",The oesophagus.
Which nerves ascend in the grooves between the trachea and the oesophagus?,The recurrent laryngeal nerves.
What is the primary arterial supply for the cervical portion of the trachea?,Branches of the inferior thyroid arteries.
Where do the tracheal veins primarily drain?,The inferior thyroid venous plexus (into the brachiocephalic veins).
The thoracic part of the trachea lies behind which bony structure in the superior mediastinum?,The manubrium of the sternum.
"Which great vessel crosses obliquely in front of the trachea in children, potentially rising above the manubrium?",The brachiocephalic artery.
At what embryological stage does the respiratory diverticulum (future trachea) first appear as an outgrowth of the foregut?,Stage 12 (approximately 26 days).
The point where the respiratory diverticulum buds from the foregut is known as the _____ groove.,Laryngotracheal
The lungs are situated on either side of the heart within the _____ cavity.,Pleural
The rounded upper extremity of the lung that protrudes above the thoracic inlet is called the _____.,Apex
The summit of the lung apex is approximately how far above the medial third of the clavicle?,2.5\text{ cm}.
"Which lung is generally heavier, broader, and has a greater capacity?",The right lung.
Why does the right lung sit higher in the thorax than the left lung?,To accommodate the liver situated beneath the diaphragm on the right side.
How many lobes does the right lung typically have?,"Three (superior, middle, and inferior)."
How many lobes does the left lung typically have?,Two (superior and inferior).
Which fissure divides the left lung into superior and inferior lobes?,The oblique fissure.
The right lung is divided into three lobes by which two fissures?,The oblique and horizontal fissures.
