What is the average length of the adult human pharynx?,12-14 cm
The pharynx becomes continuous with the oesophagus at the level of which cervical vertebra?,C_6
Which cartilage marks the inferior boundary of the pharynx?,Cricoid cartilage
The pharyngeal isthmus is located between the posterior pharyngeal wall and which other structure?,Soft palate
Where is the opening of the pharyngotympanic tube located in the nasopharynx?,10-12 mm behind the inferior nasal concha
Which muscle is covered by the salpingopharyngeal fold?,Salpingopharyngeus
What is the clinical name for the variable depression located behind the tubal elevation in the nasopharynx?,Fossa of Rosenmüller (pharyngeal recess)
What type of epithelium predominantly lines the nasopharynx anteriorly?,Ciliated pseudostratified respiratory epithelium
"What type of epithelium lines the posterior nasopharynx, oropharynx, and laryngopharynx?",Non-keratinized stratified squamous epithelium
The oropharynx extends from the soft palate to which structure inferiorly?,Upper border of the epiglottis
Which muscle is contained within the palatoglossal arch?,Palatoglossus
The palatine tonsil is located within which anatomical space?,Tonsillar fossa (tonsillar sinus)
What structures bound the laryngeal inlet laterally?,Aryepiglottic folds
The laryngopharynx extends from the superior border of the epiglottis to which inferior point?,Inferior border of the cricoid cartilage
Which nerve lies beneath the mucous membrane of the piriform fossa?,Internal laryngeal nerve
What defines the pharyngobasilar fascia?,The thickened fibrous layer supporting the pharyngeal mucosa above the superior constrictor.
The buccopharyngeal fascia covers the superior constrictor and passes forward to cover which muscle?,Buccinator
"During the pharyngeal phase of swallowing, what ridge-like structure helps seal the nasopharynx?",Passavant's ridge
From which embryological structure do the palatine tonsils develop?,Ventral parts of the second pharyngeal pouches
What is the primary function of the larynx besides phonation and being an air passage?,A sphincter
"At rest, the larynx in adult males typically lies opposite which cervical vertebrae?",C_3 to C_6
Which laryngeal cartilages are composed of hyaline cartilage and prone to calcification?,"Thyroid, cricoid, and most of the arytenoid cartilages"
Which laryngeal cartilages are composed of elastic fibrocartilage and do not typically calcify?,"Epiglottic, corniculate, cuneiform, and tritiate cartilages"
"What is the name of the narrow, leaf-like plate of elastic fibrocartilage in the larynx?",Epiglottis
The stalk of the epiglottis (petiolus) is connected to the thyroid cartilage by which ligament?,Thyroepiglottic ligament
What is the depression located on each side of the median glossoepiglottic fold?,Vallecula
Which cartilage forms the subcutaneous 'Adam's apple'?,Thyroid cartilage
Which three muscles attach to the oblique line of the thyroid cartilage?,"Sternothyroid, thyrohyoid, and thyropharyngeus"
Which cartilage is shaped like a signet ring with a broad lamina posteriorly?,Cricoid cartilage
What structure connects the lower border of the cricoid to the first tracheal cartilage?,Cricotracheal ligament
The muscular process of the arytenoid cartilage provides attachment for which muscles?,Posterior and lateral cricoarytenoid muscles
To which part of the arytenoid cartilage does the vocal ligament attach?,Vocal process
The corniculate cartilages articulate with which part of the arytenoid cartilages?,Apices
Where are the cuneiform cartilages located?,Within the aryepiglottic folds
The fibroelastic membrane of the larynx is divided into which two main parts by a horizontal cleft?,Quadrangular membrane and cricovocal membrane
The upper free edge of the cricovocal membrane is thickened to form which structure?,Vocal ligament
What is another name for the cricovocal membrane?,Conus elasticus (or lateral cricothyroid ligament)
Which pair of mucosal folds in the laryngeal cavity are known as the 'false vocal cords'?,Vestibular folds
The fissure between the true vocal cords is known as the _____.,Rima glottidis (or glottis)
Which specific part of the larynx is lined with non-keratinized stratified squamous epithelium to resist mechanical stress?,Vocal cords
What clinical term describes the part of the larynx located above the glottis?,Supraglottis
Which muscle lies parallel and just lateral to the vocal ligament?,Vocalis muscle
The thyroid cartilage develops from the ventral ends of which pharyngeal arches?,Fourth (or fourth and fifth) arches
The cricoid cartilage arises from how many cartilaginous centers?,Two
The arytenoid and corniculate cartilages differentiate from which embryological swellings?,Arytenoid swellings
The vertical slit of the primitive laryngeal opening is converted into what shape by the enlargement of arytenoid swellings?,T-shaped cleft
Which embryological ridges bound the median laryngotracheal groove?,Sixth pharyngeal arches
What structure is formed by the ventral ends of the sixth arches and the caudal part of the hypobranchial eminence?,Furcula of His
What happens to the relative length of the pharynx in a neonate compared to an adult?,It is one-third of the relative adult length.
At what age do the nasopharynx and oropharynx typically join at a right angle?,Adulthood
The 'Waldeyer's ring' refers to what group of structures?,The circumpharyngeal lymphoid ring (tonsils)
Which laryngeal membrane connects the arytenoid cartilages to the sides of the epiglottis?,Quadrangular membrane
What is the primary source of sound production (phonation) in the larynx?,True vocal cords
Which cartilage provides the skeletal framework for the laryngeal surface of the epiglottis?,Elastic fibrocartilage
The laryngeal ventricle lies between which two sets of folds?,Vestibular folds and vocal cords
Which ligament connects the epiglottis to the hyoid bone?,Hyoepiglottic ligament
What is the name of the median angle where the two laminae of the thyroid cartilage fuse?,Laryngeal prominence
"In infants, where is the highest part of the larynx (epiglottis tip) located relative to the spine?",Slightly above the junction of the dens and body of the axis (C_2)
