"In the cardiovascular system, which vessels lead away from the heart to carry blood to peripheral body parts?",Arteries.
"In the cardiovascular system, which vessels return blood to the heart?",Veins.
The cardiovascular system serves the lungs via the _____ circulation.,Pulmonary
The cardiovascular system serves the rest of the body via the _____ circulation.,Systemic
Which system returns interstitial fluid from peripheral tissues to the blood vascular system?,The lymphatic system.
What is the dominant smooth muscle heavy chain isoform during early development?,SM-1.
"In the vascular system, the _____ are considered a low-pressure system acting as a reservoir.",Veins
"In the vascular system, the _____ are considered a high-pressure system for supply function.",Arteries
"According to volume distribution data, what percentage of total blood volume is typically found in the veins?",64\%.
Which specific blood vessels are responsible for approximately 47\% of total vascular resistance?,Small arteries and arterioles.
"What is the innermost layer of an arterial wall, consisting of endothelium and a subendothelial layer?",Tunica intima.
"What is the middle layer of an arterial wall, primarily composed of smooth muscle and elastic laminae?",Tunica media.
"What is the outermost layer of an arterial wall, also known as the tunica externa?",Tunica adventitia.
Term: Vasa vasorum,Definition: Small blood vessels that supply the walls of larger arteries and veins.
"The _____ artery supplies blood to the upper region of the breast, nipple, and areola.",Second perforating
Which branch of the internal thoracic artery provides blood to the anteromedial part of the breast?,Perforating branches.
The lateral aspect of the breast is supplied by branches from the _____ artery curving around pectoralis major.,Lateral thoracic
What are the two primary arteries that supply the pericardium?,Internal thoracic and musculophrenic arteries.
Venous drainage of the pericardium is primarily handled by tributaries of the _____ system.,Azygos
Concept: Cardiac Tamponade,Definition: External compression of the heart caused by fluid accumulation in the pericardial space.
How does cardiac tamponade affect cardiac output?,It reduces venous return and subsequently reduces cardiac output.
At what vertebral level does the abdominal aorta typically begin?,The twelfth thoracic vertebra (T12).
At what vertebral level does the abdominal aorta end by dividing into common iliac arteries?,The fourth lumbar vertebra (L4).
Which major branch of the abdominal aorta supplies the foregut?,Celiac trunk (or axis).
Which major branch of the abdominal aorta supplies the midgut?,Superior mesenteric artery.
Which major branch of the abdominal aorta supplies the hindgut?,Inferior mesenteric artery.
Where do the renal arteries originate in relation to the abdominal aorta?,They arise as lateral branches below the superior mesenteric artery.
The _____ artery is a small branch arising from the bifurcation of the abdominal aorta.,Median sacral
Which pair of arteries runs vertically through the tissues of the anterior abdominal wall?,Superior and inferior epigastric arteries.
The inferior epigastric artery is a branch of the _____ artery.,External iliac
What group of vessels runs obliquely around the anterolateral aspects of the abdomen to supply the wall?,"Posterior intercostal, subcostal, and lumbar vessels."
Lymphatic drainage of the abdominal viscera occurs almost exclusively through the _____ and the thoracic duct.,Cisterna chyli
"What is the collective clinical term for the pre-aortic, lateral aortic, and retro-aortic lymph nodes?",Para-aortic lymph nodes.
Skin of the abdominal wall below the umbilicus (infra-umbilical) drains into the _____ lymph nodes.,Superficial inguinal
Skin of the abdominal wall above the umbilicus (supra-umbilical) primarily drains into the _____ lymph nodes.,Axillary (pectoral and subscapular)
"Which lymphatic vessel is found on the left side of the root of the neck, returning lymph to the venous system?",Thoracic duct.
Which vein is formed by the union of the internal jugular and subclavian veins?,Brachiocephalic vein.
The superior vena cava is formed by the union of the right and left _____ veins.,Brachiocephalic
Which branch of the right coronary artery typically supplies the sinoatrial node?,Sinoatrial nodal branch.
"The _____ artery, also known as the left anterior descending (LAD), travels in the anterior interventricular sulcus.",Anterior interventricular
The _____ artery is the branch of the left coronary artery that follows the coronary sulcus to the left.,Circumflex
What is the most common origin of the posterior interventricular (posterior descending) artery?,Right coronary artery.
Which cardiac vein travels alongside the anterior interventricular artery?,Great cardiac vein.
Which cardiac vein travels alongside the posterior interventricular artery?,Middle cardiac vein.
The pulmonary trunk divides into the right and left _____.,Pulmonary arteries
The _____ veins carry oxygenated blood from the lungs to the left atrium.,Pulmonary
"Which structure connects the aortic arch to the pulmonary trunk, representing a remnant of fetal circulation?",Ligamentum arteriosum.
A persistent left common cardinal vein may result in a congenital anomaly known as a _____.,Left superior vena cava
Where do the hepatic veins drain?,Into the inferior vena cava.
What vein is formed by the union of the superior mesenteric and splenic veins to drain the gut into the liver?,Hepatic portal vein.
The _____ artery enters the root of the neck behind the sternoclavicular joint and arches over the first rib.,Subclavian
Which vein is commonly used for central vein cannulation in the lesser supraclavicular fossa?,Internal jugular vein.
Where can the pulse of the abdominal aorta be most readily felt in a clinical setting?,"In the epigastric region, just to the left of the midline."
The _____ lymph nodes are located around the bifurcation of the trachea.,Bronchopulmonary (or hilar)
Which artery supplies the gallbladder and is often a branch of the right hepatic artery?,Cystic artery (implied by Cystic node of Calot).
The _____ artery arises from the internal thoracic artery and supplies the superior surface of the diaphragm.,Musculophrenic
Which major vein receives blood from the intercostal veins of the right side of the thorax?,Azygos vein.
The _____ artery supplies the lower part of the rectum and the anal canal.,Inferior rectal (implied by anorectal nodes)
What is the embryological origin of the oblique vein of the left atrium?,The left duct of Cuvier (left common cardinal vein).
Which arteries supply the adrenal (suprarenal) glands?,"Suprarenal arteries (superior, middle, and inferior)."
The _____ nodes are the lymphatic group located near the origin of the celiac trunk.,Celiac
What vessel carries lymph from the small intestine to the cisterna chyli?,Intestinal trunk.
The _____ artery provides the primary blood supply to the descending and sigmoid colon.,Inferior mesenteric
Which group of lymph nodes drains the area around the cardiac orifice of the stomach?,Nodes around the cardia (annulus lymphaticus cardiae).
The _____ artery provides blood to the lower portion of the anterior abdominal wall muscles.,Inferior epigastric
