What is the collective anatomical term for the various structural arrangements that join the bones of the skeleton?,Joints (arthroses)
"According to complexity, how is a synovial joint with only two articular surfaces classified?",Simple joint
"What classification is given to a joint containing more than two articular surfaces, such as the elbow?",Compound joint
What structural feature characterizes a 'complex' synovial joint?,The presence of an intra-articular disc or meniscus
Which joint type consists of almost flat apposing surfaces and primarily permits sliding movements?,Plane joints
What is the anatomical synonym for a uniaxial 'hinge' joint?,Ginglymus
"Which joint type allows rotation only around a single longitudinal axis, such as the radio-ulnar joint?",Trochoid (pivot) joints
"What joint classification describes two convex condyles articulating with concave or flat surfaces, such as the knee?",Bicondylar joints
Metacarpophalangeal joints are examples of which biaxial joint type consisting of an oval surface and an elliptical concavity?,Ellipsoid joints
What is the anatomical synonym for a 'saddle' joint?,Sellar joint
The carpometacarpal joint of the thumb is a classic example of which joint type?,Sellar (saddle) joint
Which multiaxial joint type is formed by a globoid 'head' fitting into an opposing cup?,Spheroidal (ball-and-socket) joints
"In spheroidal joints, at what point in the range of motion is perfect congruence typically achieved?",At the end of the most common movement
What term describes the simplest joint motion involving sliding without appreciable angulation?,Translation
What movement involves a change in angle between the topographical axes of articulating bones?,Angulation
"Which movement combines successive flexion, abduction, extension, and adduction?",Circumduction
"At the shoulder joint, around which specific axis does flexion occur?",An oblique axis through the center of the humeral head
"At the hip joint, around which axis does flexion occur?",A transverse axis
What is the specific name for rotation that is an integral and inevitable accompaniment of a main movement?,Conjunct (coupled) rotation
"What name is given to the fibrocartilaginous annular lip that deepens a joint socket, such as in the hip?",Labrum
"Which term should be strictly reserved for incomplete intra-articular discs, like those in the knee?",Meniscus
What is the shape-based classification of the glenohumeral joint?,Multiaxial spheroidal joint
Which two specific surfaces articulate at the glenohumeral joint?,The head of the humerus and the glenoid fossa of the scapula
What does the stability of the glenohumeral joint primarily depend on?,The surrounding muscular and soft tissue envelope
The elbow joint is functionally classified as what type of joint?,Hinge joint
What are the two primary humeral surfaces that participate in the elbow joint complex?,The trochlea and the capitulum
Which ulnar structure articulates with the humeral trochlea?,Trochlear notch
The capitulum of the humerus articulates with which part of the radius?,Radial head
"Which elbow ligament is triangular and consists of anterior, posterior, and inferior parts?",Ulnar collateral ligament
Which part of the ulnar collateral ligament is the strongest and stiffest?,Anterior band
The radial collateral ligament of the elbow attaches to the lateral epicondyle and which other ligament?,Anular ligament
What is the primary function of the anular ligament in the superior radio-ulnar joint?,Encircling the radial head and holding it against the ulnar radial notch
Which thin fibrous ligament maintains constant tension between the neck of the radius and the ulnar supinator fossa?,Quadrate ligament
Where is the largest pad of fat located within the elbow joint?,Olecranon fossa
Which muscle presses the olecranon fat pad into its fossa during elbow flexion?,Triceps
What bursa lies between the elbow joint capsule and the insertion of the triceps tendon?,Olecranon bursa
"In the anatomical position, what is the approximate degree of the 'carrying angle' of the forearm?",$163^\circ$
