What is the primary definition of anatomy provided in the source?,Anatomy is the study of body structure from the submicroscopic to the macroscopic levels.
"Topographical or gross anatomy includes surface, radiological, and _____ anatomy.",Endoscopic
Which international guide served as the basis for anatomical terminology in the 39th Edition of Gray's Anatomy?,Terminologia Anatomica (drawn up by the FCAT in 1998).
Why are eponyms included in Gray's Anatomy despite the preference for standardized terms?,Eponyms are frequently used by clinicians and sometimes lack simple alternative anatomical terms.
Describe the conventional 'anatomical position' regarding the palms and feet.,The body stands erect with palms and feet facing forwards.
Which imaginary plane passes longitudinally through the body to divide it into right and left halves?,The median plane.
What is the relationship between the sagittal plane and the median plane?,The sagittal plane is parallel to the median plane.
Which anatomical plane is orthogonal to the median plane and divides the body into anterior and posterior parts?,The coronal plane.
"In radiological terminology, what is the synonym for the horizontal or transverse plane?",The axial (or transaxial) plane.
From what direction is axial anatomy conventionally viewed by radiologists?,Looking from the feet towards the head.
What term is frequently used in embryology as a synonym for inferior to refer to the tail end?,Caudal
Define the relationship indicated by the term 'medial'.,A structure that is closer to the midline of the body than another structure.
What do the terms 'external' and 'internal' describe regarding anatomical structures?,The distance of a structure from the center of an organ or cavity.
Which term is used to describe a structure that is on the opposite side of the body or an organ?,Contralateral
Define 'ipsilateral' in an anatomical context.,A structure or organ located on the same side of the body.
What is the datum point used when describing structures as 'proximal' or 'distal' in the limbs?,The attachment point of the limb to the trunk.
Which terms are used specifically to describe the relationships between adjacent structures based on their depth?,Superficial and deep.
"In the context of the trunk and upper limb, what is the functional synonym for 'anterior'?",Ventral
What are the common functional synonyms for 'posterior' in the locomotor system?,Dorsal and extensor.
Why is the term 'flexion' at the ankle joint considered complicated by morphological standards?,"Elevation of the foot approximates two dorsal surfaces, which morphologically could be called extension."
Muscle nomenclature: What does the term 'Rectus' indicate about a muscle's fibers?,The fibers are straight.
Muscle nomenclature: What is the descriptive meaning of 'Deltoid'?,Triangular-shaped.
