"What anatomical region is defined as the partition between the lungs, including the mediastinal pleura?",The mediastinum.
The horizontal plane dividing the superior and inferior mediastinum extends from the manubriosternal joint to the lower surface of which vertebra?,The fourth thoracic vertebra ($T4$).
Which mediastinal subdivision is located between the manubrium sterni and the upper four thoracic vertebrae?,The superior mediastinum.
The inferior mediastinum is subdivided into which three parts?,"The anterior, middle, and posterior mediastinum."
Which specific space in the superior mediastinum contains the aortic arch and the great vessels?,The prevascular (anterior) junction.
Which nerves are found descending within the superior mediastinum?,"The vagus, phrenic, and left recurrent laryngeal nerves."
The _____ mediastinum is the narrow space located between the body of the sternum and the pericardium.,Anterior
Name the primary contents of the middle mediastinum.,"The pericardium, heart, ascending aorta, pulmonary trunk, and phrenic nerves."
"The posterior mediastinum is bounded anteriorly by the pericardium and diaphragm, and posteriorly by which vertebrae?",The fourth to the twelfth thoracic vertebrae ($T4-T12$).
Which major venous structures are found in the posterior mediastinum?,"The azygos, hemiazygos, and accessory azygos veins."
What structure forms the medial border of the aortopulmonary window?,The trachea.
The _____ space is located below the bifurcation of the trachea and is bounded by the two principal bronchi.,Subcarinal
Which radiographic feature represents a reflection of the mediastinal pleura from the aorta to the pulmonary artery?,The aortopulmonary stripe.
The _____ recess is located posterior to the subcarinal space and is where the right lung contacts the esophagus.,Azygo-oesophageal
What is the potential space between the visceral and parietal layers of the pleura called?,The pleural cavity.
Which layer of the pleura is inseparably adherent to the lung surface and its interlobar fissures?,The visceral (pulmonary) pleura.
"The four named regions of the parietal pleura are the costovertebral, diaphragmatic, mediastinal, and _____ pleura.",Cervical
Where do the visceral and parietal pleurae become continuous with each other?,Around the hilar structures (root of the lung).
The cervical pleura (cupola) extends approximately how many centimeters above the first costal cartilage?,$3-4$ cm.
What is the clinical term for an accumulation of air within the pleural cavity?,Pneumothorax.
"Which clinical emergency is characterized by unilateral hyperresonance, hypotension, and contralateral tracheal deviation?",Tension pneumothorax.
Terminology: Empyema,Definition: A collection of pus within the pleural space.
At which level do the right and left pleural sacs typically touch behind the sternum?,The upper half of the sternal body.
"On the left side, the costal pleura diverges from the midline to form the _____ notch.",Cardiac
The lower margin of the lung typically rises how many centimeters above the costodiaphragmatic reflection in full expiration?,$5$ cm.
What double-layered fold of mediastinal pleura extends from the hilum to the diaphragm?,The pulmonary ligament.
Which nerves provide sensory innervation to the costal and peripheral diaphragmatic parietal pleura?,The intercostal nerves.
Irritation of the mediastinal or central diaphragmatic pleura results in pain referred to which dermatomes?,$C3$ and $C4$ (neck and shoulder tip).
Why is the visceral pleura generally insensitive to pain?,It is innervated by visceral afferents rather than somatic nerves.
Which developmental layer of mesoderm gives rise to the parietal pleura?,Somatopleuric mesoderm.
The visceral pleura is derived from which embryonic mesoderm layer?,Splanchnopleuric mesoderm.
Which two structures are embedded within the embryonic pleuropericardial membrane?,The common cardinal vein and the phrenic nerve.
The cervical pleura is strengthened and covered by which fascial structure?,The suprapleural membrane (Sibson's fascia).
"In the mid-axillary line, the costodiaphragmatic reflection of the parietal pleura typically reaches the level of which rib?",The tenth rib.
"Which part of the parietal pleura is supplied by branches from the bronchial, internal thoracic, and diaphragmatic arteries?",The mediastinal pleura.
Name the space between the lateral margins of the spine and the lungs containing intercostal vessels.,The para-spinal area.
"Which mediastinal space, situated between the diaphragmatic crura and the lungs, contains the aorta and azygos vein?",The retrocrural space.
The _____ bulb of the internal jugular vein is located in the lesser supraclavicular fossa.,Inferior
What describes the 'aortic knuckle' on a frontal chest radiograph?,The surface projection of the aortic arch.
The _____ ligament anchors the pericardium to the posterior surface of the sternum.,Sternopericardial
Which nerve turns around the lower border of the right subclavian artery in the root of the neck?,The right recurrent laryngeal nerve.
What is the name for the accumulation of lymph in the pleural cavity?,Chylothorax.
The costovertebral parietal pleura is separated from the ribs and intercostal muscles by which thin layer of loose connective tissue?,The endothoracic fascia.
Concept: Mediastinoscopy,Definition: A procedure traversing the pretracheal and paratracheal spaces to access mediastinal lymph nodes.
Which structure lies immediately anterior to the esophagus in the superior mediastinum?,The trachea.
The thoracic duct crosses from the right to the left of the esophagus at the level of which vertebra?,The fifth thoracic vertebra ($T5$).
Which vessels descend between the fibrous pericardium and the mediastinal pleura?,The phrenic nerve and pericardiacophrenic vessels.
What structure marks the inferior border of the mediastinal pleura as it attaches to the diaphragm?,The line of attachment of the pericardium.
The apex of the lung is found approximately $2.5$ cm above the medial one-third of which bone?,The clavicle.
Which mediastinal space is bordered by the trachea posteriorly and the superior vena cava anteriorly?,The pretracheal space.
"On a posteroanterior chest radiograph, which structure forms the right border of the 'mediastinal shadow' above the right atrium?",The superior vena cava.
Which nerve provides the sensory pathway for pain referred to the abdominal wall due to costal pleura irritation?,The intercostal nerves.
What is the name of the bursa sometimes found between the esophagus and diaphragm representing the right pneumatoenteric recess?,The infracardiac bursa.
The _____ nerve passes behind the dome of the pleura on the right side to enter the thorax.,Vagus
Which artery crosses the dome of the cervical pleura below its summit?,The subclavian artery.
Which developmental structure divides into the pleuropericardial and pleuroperitoneal membranes?,The pulmonary ridge.
The _____ pleura is highly elastic and causes the lung to retract when removed from the thorax.,Visceral
Where is the thymus gland typically located in the mediastinum?,The superior and anterior mediastinum.
Which structure intervenes between the right pleura and the esophagus as it arches over the right principal bronchus?,The azygos vein.
"At the mid-clavicular line, the inferior reflection of the pleura typically crosses which rib?",The eighth rib.
The phrenic nerve enters the diaphragm after descending between which two structures in the middle mediastinum?,The fibrous pericardium and the mediastinal pleura.
