"In anatomical nomenclature, what does the term 'rectus' indicate about a muscle's fibers?",They run in a straight direction.
What specific shape is described by the muscle name 'deltoid'?,Triangular
Which muscle name indicates a 'slender' shape?,Gracilis
What is the meaning of the muscle term 'profundus'?,Deep
"In muscle naming, the term 'latissimus' refers to which relative size?",Broadest
How many heads does a 'triceps' muscle possess?,Three
The term 'pectoralis' indicates a muscle's position in which body region?,The chest
Which fascia layer encloses both the trapezius and the sternocleidomastoid muscles?,The investing layer of deep cervical fascia
The musculoskeletal compartment of the neck is enclosed by which specific fascia?,Prevertebral fascia
"Which neck compartment contains the pharynx, larynx, and thyroid gland?",The visceral compartment
Identify the three primary structures contained within the carotid sheath.,"Common or internal carotid artery, internal jugular vein, and vagus nerve."
The sternocleidomastoid muscle divides the anterolateral neck into which two major regions?,The anterior and posterior triangles
What is the primary cranial nerve that provides motor innervation to the sternocleidomastoid?,The spinal part of the accessory nerve (CN XI)
Unilateral contraction of the sternocleidomastoid rotates the head so the face turns toward the _____ side.,Opposite (contralateral)
Which muscle acts as the posterior boundary of the posterior triangle of the neck?,Trapezius
Which specific movement of the neck against resistance demonstrates the upper part of the trapezius?,Elevation of the shoulders
The erector spinae muscle group is innervated by which branches of the spinal nerves?,Dorsal primary rami
What is the general primary action of the erector spinae group when acting bilaterally?,Extension of the vertebral column
Which three muscles compose the erector spinae group?,"Iliocostalis, longissimus, and spinalis."
The transversospinalis group consists of which three muscle types?,"Semispinalis, multifidus, and rotatores."
"In the spinal cord, motor neurons innervating epaxial muscles are located _____ to those supplying hypaxial muscles.",Ventral
Which group of muscles is innervated by the ventral primary rami of spinal nerves?,Hypaxial muscles
Give an example of a hypaxial muscle group in the trunk.,Anterior abdominal wall muscles (or intercostals).
What is the clinical landmark for the lower end of the adult dural sac?,A line joining the sacral dimples (posterior superior iliac spines).
Which muscle is primarily responsible for turning the face to the ipsilateral side?,Longissimus capitis
Name the four 'strap' muscles of the infrahyoid group.,"Sternohyoid, omohyoid, sternothyroid, and thyrohyoid."
Which suprahyoid muscle features two bellies joined by an intermediate tendon?,Digastric
The posterior boundary of the posterior triangle of the neck is formed by the _____ border of the trapezius.,Anterosuperior
What skeletal structure serves as the superior attachment point for the sternocleidomastoid?,The mastoid process of the temporal bone
Which deep back muscle group runs obliquely from transverse processes to more superior spinous processes?,Transversospinalis
"Flexion of the trunk is initiated by muscles such as the _____, before gravity takes over.",Rectus abdominis
What is the primary function of the 'medial longitudinal motor column' in the spinal cord?,Innervation of epaxial and hypaxial muscles.
The prevertebral muscles of the neck are classified as _____ muscles based on their innervation by ventral rami.,Hypaxial
Which nerve supplies the skin of the upper and posterior parts of the shoulder?,Lateral supraclavicular nerves
Which muscle lies immediately posterior to the investing fascia in the anterior neck?,Infrahyoid muscles
The _____ plane joins the highest points of the iliac crests and is a landmark for lumbar puncture.,Supracristal
Which muscle group forms the cylindrical prominences on either side of the median furrow in the neck?,Semispinalis capitis
Elevation of the thorax during forced inspiration is an auxiliary action of which neck muscle?,Sternocleidomastoid
The anterior triangle of the neck is bounded anteriorly by the _____.,Anterior median line
Identify the two suprahyoid muscles located within the anterior triangle.,Digastric and stylohyoid
Which muscle is the primary extensor of the head and is attached to the superior nuchal line?,Semispinalis capitis
Lateral flexion of the vertebral column is controlled by the _____ erector spinae muscle.,Contralateral
Which superficial neck muscle lies between the skin and the deep cervical fascia?,Platysma
The 'monk's cowl' or 'musculus cucullaris' is an ancient name for which muscle?,Trapezius
What is the specific action of the rotatores muscles?,Rotation of the vertebral column
Which muscle group is found in the compartment between the posterior and middle layers of the thoracolumbar fascia?,Erector spinae
The carotid sheath lies deep to which major neck muscle?,Sternocleidomastoid
"In the neck, which muscles are primarily responsible for lateral flexion of the head?","Sternocleidomastoid, trapezius, and splenius capitis."
Which muscle originates from the transverse processes of T6-T10 and attaches to the spines of upper thoracic vertebrae?,Semispinalis thoracis
The inferior angle of the scapula is typically covered by which large back muscle?,Latissimus dorsi
What is the root level principal supply to the intrinsic muscles of the hand?,C8 and T1
The sternoclavicular joint is supplied by which cutaneous nerves?,Medial supraclavicular nerves
Which muscle is used to raise the head when a subject is in a supine position?,Sternocleidomastoid
The muscles of the 'erector spinae group' are categorized together because they share a common _____.,Innervation (dorsal rami) and primary action (extension).
Which muscle attaches to the transverse process of the atlas and is often extended in origin?,Scalenus medius
"What is the term for a muscle with four bellies or heads, such as the one found in the thigh?",Quadriceps
"The 'rectus' muscles of the neck (e.g., rectus capitis anterior) primarily perform what movement?",Flexion
Identify the muscle group located between the iliac crest and the twelfth rib that produces a broad elevation.,Erector spinae
Which muscle is tested by having the subject push their hands against a wall with elbows extended?,Lower fibers of the trapezius
The phrenic nerve typically lies on the anterior surface of which muscle in the neck?,Scalenus anterior
Which muscle is the primary lateral rotator of the head?,Sternocleidomastoid
The 'interosseus' muscle name refers to a position located _____.,Between bones
What is the primary action of the longus colli muscle?,Flexion of the cervical vertebral column
The sub-occipital muscles primarily contribute to which movement of the head?,Extension
Which muscle group is preferentially affected in upper motor neurone lesions of the hip?,Flexors
