The cardiovascular system uses what type of muscle for the walls of heart chambers?,Cardiac muscle
Which major type of muscle tissue cells appear to remain capable of division throughout life?,Smooth muscle cells
The heart is considered a 'central pump' feeding two loops; name the loop that serves the lungs to oxygenate blood.,Pulmonary circulation
Intercalated discs are complex junctions unique to which type of muscle tissue?,Cardiac muscle
"In cardiac muscle, electrical impulses propagate from cell to cell via _____ junctions found in the lateral portions of intercalated discs.",gap
What is the term for the functional coordination of individual heart cells so they act as a single unit?,Syncytium
Cardiac muscle cells rely on a highly developed _____ metabolism for their continuous energy requirement.,oxidative
Which chamber of the heart consistently receives the highest arterial blood flow due to its high workload?,Left ventricle
Activation of the right _____ nerve slows the heart rate primarily through its influence on the sinoatrial (SA) node.,vagus
The left stellate ganglion (sympathetic) primarily influences which aspect of cardiac function?,Ventricular contractility
The pericardium consists of two main components: the fibrous pericardium and the _____ pericardium.,serosal
Which layer of the serosal pericardium adheres to the heart and is also known as the epicardium?,Visceral layer
The narrow space between the visceral and parietal layers of the serosal pericardium is the _____ cavity.,pericardial
The fibrous pericardium is attached inferiorly to which structure?,Central tendon of the diaphragm
The pericardium is anchored to the posterior surface of the sternum by the _____ ligaments.,sternopericardial
"What nerve, accompanied by vessels, descends between the fibrous pericardium and the mediastinal pleura?",Phrenic nerve
The _____ sinus of the pericardium is a cul-de-sac located behind the left atrium.,oblique
The transverse sinus of the pericardium is a passage situated between the arterial 'tube' and the _____ 'tube'.,venous
Pericardial pain typically radiates to the upper border of which muscle?,Trapezius
Concept: Cardiac Tamponade,"Definition: External compression of the heart caused by fluid accumulation in the pericardial space, reducing venous return and cardiac output."
What is the emergency treatment for relieving cardiac tamponade?,Percutaneous pericardial aspiration
The heart occupies which specific division of the mediastinum?,Middle mediastinum
Approximately what fraction of the heart's mass lies to the right of the midline?,One-third
What is the average weight of the heart in an adult male?,300 g
The anatomical base of the heart faces in which direction?,Posteriorly and to the right
The anatomical apex of the heart is formed by which chamber?,Left ventricle
Which cardiac surface is also referred to as the 'anterior' surface?,Sternocostal surface
The 'acute' margin of the heart corresponds to which border?,Inferior border
The 'obtuse' margin of the heart corresponds to which border?,Left border
The _____ groove separates the atria from the ventricles and contains the main trunks of the coronary arteries.,atrioventricular (or coronary)
"The junction of the atrioventricular, interatrial, and posterior interventricular grooves is called the _____ of the heart.",crux
The anatomical apex of the heart is typically located behind which intercostal space?,Fifth left intercostal space
The _____ terminalis is a shallow groove on the external surface of the right atrium marking the junction between the venous part and the atrium proper.,sulcus
Which muscular ridges extend from the terminal crest into the right auricle?,Pectinate muscles (musculi pectinati)
The fossa ovale is a remnant of the fetal _____.,foramen ovale
Name the three boundaries of the Triangle of Koch.,"Tendon of Todaro, ostium of the coronary sinus, and the septal cusp of the tricuspid valve."
The Triangle of Koch is a surgical landmark for the location of the _____ node.,atrioventricular (AV)
The outflow tract of the right ventricle is known as the _____.,infundibulum (or conus arteriosus)
The _____ crest is a thick muscular arch that separates the inlet and outlet components of the right ventricle.,supraventricular
The framework of dense collagen at the ventricular base is termed the _____ of the heart.,fibrous skeleton
Coronary 'dominance' is defined by the origin of which specific artery?,Posterior interventricular (descending) branch
"According to the source, which coronary artery is 'dominant' in 70\% of individuals?",Left coronary artery
The coronary sinus drains blood into which heart chamber?,Right atrium
The _____ cardiac vein begins at the apex and ascends in the anterior interventricular groove.,great
The middle cardiac vein travels within which groove?,Posterior interventricular groove
Which small vessel on the back of the left atrium is a remnant of the left common cardinal vein?,Oblique vein of the left atrium
The right cardiac collecting lymphatic trunk typically ends in which node group?,Brachiocephalic node
"The pulmonary trunk arises from the base of the right ventricle at the pulmonary anulus, which surmounts the _____.",conus arteriosus
The pulmonary trunk divides into right and left pulmonary arteries at the level of which vertebra?,Fifth thoracic vertebra (T5)
"In the fetus, the pulmonary artery is connected to the aortic arch by the _____.",ductus arteriosus
The pulmonary trunk and the _____ are enclosed together in a common tube of visceral serosal pericardium.,ascending aorta
"What type of imaging allows for the assessment of the mitral and tricuspid valves through four-chamber, long-axis, and short-axis views?",Echocardiography
The _____ nerve provides parasympathetic innervation to the heart.,vagus
The fibrous pericardium is continuous superiorly with the _____ of the great vessels.,adventitia
Which heart chamber forms most of the posterior aspect (base) of the heart?,Left atrium
