What slit-like space is located between the lips/cheeks and the teeth?,Oral vestibule
Which specific region is defined as the area internal to the dental arches?,Oral cavity proper
The trough formed where the oral mucosa reflects from the alveolus to the lips and cheeks is the _____.,Fornix vestibuli
What midline mucosal folds connect the lips to the alveolar processes?,Labial frena (or frenula)
Which structure forms the roof of the mouth and separates the oral and nasal cavities?,Palate
The floor of the mouth is formed primarily by the _____ muscles.,Mylohyoid
What space provides the only communication between the oral vestibule and the oral cavity proper when teeth are occluded?,Retromolar regions
Which specific part of the palate contains the palatine processes of the maxillae and horizontal plates of the palatine bones?,Hard palate
The transverse sutures running across the hard palate are known as the _____ sutures.,Transverse palatine (palatomaxillary)
What landmark sits immediately behind the central incisor teeth on the hard palate?,Incisive fossa
Which nerve traverses the incisive canal to supply the anterior hard palate?,Nasopalatine nerve
What structure is the primary source of blood supply to the hard palate?,Greater palatine artery
The _____ is a mobile flap suspended from the posterior border of the hard palate.,Soft palate
What are the small bilateral pits representing duct orifices near the midline of the soft palate?,Foveae palatini
Which median conical process projects downward from the posterior border of the soft palate?,Uvula
The _____ marks the boundary between the oral cavity and the oropharynx.,Oropharyngeal isthmus
Which mucosal fold contains the palatoglossus muscle and runs from the soft palate to the tongue?,Palatoglossal arch
The dorsal surface of the tongue is divided by a V-shaped groove called the _____.,Sulcus terminalis
What median depression at the apex of the sulcus terminalis marks the site of the embryonic thyroid diverticulum?,Foramen caecum
Which part of the tongue constitutes the anterior two-thirds of its length?,Oral (presulcal) part
The posterior one-third of the tongue is also referred to as the _____ part.,Pharyngeal (postsulcal)
What midline fold of mucosa connects the inferior surface of the tongue to the floor of the mouth?,Lingual frenulum
The _____ is the centrally positioned protuberance where submandibular ducts open into the mouth.,Sublingual papilla
"Which tongue papillae are minute, conical, and do not bear taste buds?",Filiform papillae
"Which tongue papillae appear as large, rounded, deep red spots mainly on the lingual margin?",Fungiform papillae
The _____ papillae consist of 8 to 12 large projections arranged in a V-shape in front of the sulcus terminalis.,Circumvallate
Which tongue papillae are represented by vertical folds at the sides of the tongue near the sulcus terminalis?,Foliate papillae
What lymphoid nodules are embedded in the submucosa of the pharyngeal part of the tongue?,Lingual tonsil
"The _____ muscles of the tongue act to alter its shape, such as flattening or narrowing.",Intrinsic
Which extrinsic tongue muscle is responsible for protruding the tongue?,Genioglossus
What nerve provides motor innervation to all intrinsic and extrinsic tongue muscles except palatoglossus?,Hypoglossal nerve (XII)
Which nerve provides motor innervation specifically to the palatoglossus muscle?,Pharyngeal branch of the vagus nerve (X)
General sensation for the anterior two-thirds of the tongue is carried by the _____ nerve.,Lingual
Taste sensation for the anterior two-thirds of the tongue is carried by the _____ branch of the facial nerve.,Chorda tympani
Both general and taste sensation for the posterior one-third of the tongue are carried by the _____ nerve.,Glossopharyngeal (IX)
The presulcal part of the tongue develops from the tuberculum impar and the _____ swellings.,Lingual
The postsulcal part of the tongue develops from the _____ eminence.,Hypobranchial
How many teeth are present in a complete deciduous dentition?,20
How many teeth are present in a complete permanent dentition?,32
"The cutting teeth with thin, blade-like crowns are known as _____.",Incisors
"Which teeth are characterized by a single, stout, pointed, cone-shaped crown for tearing?",Canines
What teeth serve as the grinding teeth and possess multiple cusps?,Molars and premolars
Which type of teeth are restricted to the permanent dentition and replace deciduous molars?,Premolars
What hard translucent tissue covers the anatomical crown of a tooth?,Enamel
The yellowish bone-like tissue covering the root of a tooth is called _____.,Cementum
"What is the primary substance forming the body of the tooth, located beneath the enamel and cementum?",Dentine
The central connective tissue space of a tooth that contains vessels and nerves is the _____.,Pulp cavity
What is the name of the opening at the tip of a tooth root through which vessels and nerves enter?,Apical foramen
The connective tissue that attaches the cementum of the tooth root to the alveolar bone is the _____.,Periodontal ligament
Which part of the jaw bone supports and protects the teeth?,Alveolar bone
The _____ is the specialized oral mucosa covering the alveolar bone and the necks of the teeth.,Gingiva
What clinical landmark delineates the dark red alveolar mucosa from the pale pink gingival mucosa?,Mucogingival junction
The space between the internal surface of the gingiva and the tooth is the _____.,Gingival sulcus
Which nerve provides sensory supply to the mandibular teeth?,Inferior alveolar nerve
Which nerve provides sensory supply to the maxillary molar teeth?,Posterior superior alveolar nerve
What is the source of the superior and inferior labial arteries that supply the lips?,Facial artery
Which muscle group in the tongue acts to shorten the organ and make the dorsum concave?,Superior longitudinal muscles
The _____ muscle of the tongue acts to flatten and widen it.,Vertical
"A tooth is divided into a crown and root at the _____, also called the cervical margin.",Neck
What is the typical thickness of the periodontal ligament in humans?,0.2\ mm
Which maxillary tooth usually possesses a small additional tubercle called the cusp of Carabelli?,First permanent molar
What is the characteristic shape of the occlusal surface of upper permanent molars?,Rhomboid
How many roots do maxillary first molars typically have?,3
"The _____, or bundle bone, refers to the layer of the tooth socket where Sharpey's fibers embed.",Cribriform plate
Which structure in the infant allows them to breathe while suckling by directing the larynx into the nasopharynx?,Elevated larynx/soft palate contact
The subcutaneous fat mass in the cheek that supports it during suckling is the _____.,Suctorial pad
"In speech production, what is the required subglottal pressure beneath the vocal cords for vibration?",Approximately 7\ cm\ H_{2}O
Which organs act as the 'articulators' to produce distinct units of speech called phonemes?,"Lips, tongue, teeth, and soft palate"
The unique frequency spectrum of an individual's voice is primarily determined by the _____ acting as a filter.,Supraglottal tract
Which part of the tongue is associated with initiating the gag reflex when touched inappropriately?,Posterior one-third (postsulcal part)
The original site of the _____ marks the boundary where trigeminal innervation ends and glossopharyngeal begins.,Buccopharyngeal membrane
What condition occurs when alveolar bone atrophies due to the congenital absence of teeth?,Anodontia
Which tooth characteristic is considered the most useful for estimating adult age in forensic anatomy?,Amount of translucent dentine in the root
The _____ line in tooth ground sections can be used to calculate age from birth with considerable accuracy.,Neonatal
What is the average width of the hard palate between the maxillary first molars?,Approximately 50\ mm
Which nerve provides sensory innervation to the lower lip?,Mental branch of the mandibular nerve
Which nerve provides sensory innervation to the upper lip?,Infraorbital nerve (maxillary division)
"The specialized mucosa on the dorsal surface of the tongue is distinguished by its _____, which bear taste buds.",Papillae
What are the irregular transverse folds on the hard palate of a neonate used for gripping the nipple?,Rugae
