What collective term describes the variety of structural arrangements that join the bones of the skeleton?,Joints (arthroses).
Solid (non-synovial) joints are collectively known as _____.,Synarthroses.
What term is used for synovial joints that possess a fluid-containing cavity?,Diarthroses.
Into which two groups are synarthroses commonly divided based on their intervening connective tissue?,Fibrous joints and cartilaginous joints.
"Which type of fibrous joint is characterized by a thin layer of fibrous tissue, such as those found between the bones of the skull?",Suture.
Define 'Syndesmosis'.,"A fibrous joint where bones are connected by an interosseous ligament or membrane (e.g., the interosseous membrane between the radius and ulna)."
"A 'peg-in-socket' fibrous joint, such as the articulation of a tooth in its alveolar process, is called a _____.",Gomphosis.
What is the primary difference between a primary and a secondary cartilaginous joint?,"Primary cartilaginous joints (synchondroses) are joined by hyaline cartilage, while secondary cartilaginous joints (symphyses) are joined by a plate of fibrocartilage."
"The fate of many temporary synchondroses (primary cartilaginous joints) is to undergo _____, converting the cartilage into bone.",Synostosis.
"Where are symphyses exclusively located in the human body, with one exception?","The axial skeleton (e.g., intervertebral discs and the pubic symphysis)."
What specific tissue usually covers the articular surfaces of bones in a synovial joint?,Hyaline cartilage.
Which specific regions of a synovial joint are NOT covered by the synovial membrane?,The articular cartilage and intra-articular discs (or menisci).
What is the primary function of articular fat pads found in synovial membranes?,They act as flexible cushions that accommodate changes in joint shape and volume during movement.
Approximately how much synovial fluid can typically be aspirated from a large joint like the knee?,Less than 0.5 ml.
What is the difference between a 'simple' and a 'compound' synovial joint?,"A simple joint has only two articulating surfaces, while a compound joint has more than two (e.g., the elbow)."
Define a 'complex' synovial joint.,A joint that contains an intra-articular disc or meniscus.
"Which classification of synovial joint permits only uniaxial movement, similar to a mechanical hinge?",Ginglymus (hinge joint).
"A _____ joint allows rotation only around a single longitudinal axis, such as the proximal radio-ulnar joint.",Trochoid (pivot).
"Which type of synovial joint consists of two convex condyles articulating with concave or flat surfaces, permitting limited rotation in a second axis?",Bicondylar joint.
How many degrees of freedom does an ellipsoid joint typically possess?,Two (biaxial).
Describe the geometry of a sellar (saddle) joint's articular surfaces.,"The surfaces are concavoconvex, where each surface is convex in one direction and concave at right angles to it."
Which type of synovial joint is multiaxial and consists of a globoid 'head' received into an opposing cup?,Spheroidal (ball-and-socket) joint.
"In the context of joint motion, what is a 'degree of freedom'?",A single possible rotation or translation about one of three orthogonal axes.
Define the joint movement 'Flexion'.,The approximation of two ventral surfaces around a transverse axis (with notable exceptions like the thumb and foot).
How is 'Extension' defined at most joints?,A movement resulting in a straightening or the approximation of two dorsal surfaces.
Movement of a limb away from the midline of the body in the coronal plane is called _____.,Abduction.
"What movement combines successive flexion, abduction, extension, and adduction?",Circumduction.
Distinguish between adjunct and conjunct axial rotation.,"Adjunct rotation occurs independently as a degree of freedom, whereas conjunct rotation is an inevitable accompaniment to another main movement."
What are the three components into which all natural articular movements can be analyzed?,"Spin, roll, and slide."
"In arthrokinematics, if a convex surface moves on a stationary concave surface, roll and slide occur in _____ directions.",Opposite.
"In arthrokinematics, if a concave surface moves on a stationary convex surface, roll and slide occur in _____ directions.",The same.
What characterizes the 'close-packed' position of a joint?,"Maximum surface congruence, taut ligaments and capsule, and minimal joint volume."
What is the 'loose-packed' position of a joint?,Any position where the articular surfaces are not fully congruent and parts of the capsule are lax.
What is the close-packed position for the hip joint?,Full extension combined with medial rotation.
What is the close-packed position for the knee joint?,Full extension.
"In the ankle, which movement corresponds to the close-packed position?",Dorsiflexion.
"According to Hilton's Law, what is the innervation pattern of a movable joint?",The joint is supplied by articular branches of the nerves that supply the muscles acting on that joint.
Define 'Prime Mover' (agonist) in muscular dynamics.,The muscle or muscles consistently active in initiating and maintaining a specific movement.
A muscle that wholly opposes a specific movement is known as a(n) _____.,Antagonist.
What is the role of a 'Synergist' muscle during joint movement?,"It eliminates unwanted movements that would otherwise be produced by the prime mover, especially when crossing multiple joints."
Define 'Fixator' muscles in the context of joint stability.,"Muscles that co-contract to stabilize a joint, creating an immobile base for other prime movers to act."
What type of muscle contraction occurs when the tension increases but the muscle length does not change?,Isometric contraction.
"What type of contraction involves the active lengthening of a muscle, often used to control movement against gravity?",Eccentric contraction.
"What term describes the fibrocartilaginous annular lip that deepens a socket, such as in the glenoid fossa or acetabulum?",Labrum.
Which joint structures are responsible for sensing speed and direction of movement (rapidly adapting)?,Lamellated (Pacinian) corpuscles.
Which joint receptors respond to stretch and adapt slowly?,Ruffini endings.
What mechanical advantage is provided by the combined roll and slide in joint movement?,It maximizes the potential range of motion for a given joint without requiring a massive increase in articular surface area.
Why is the glenohumeral (shoulder) joint inherently unstable compared to the hip joint?,"It lacks significant bony constraint, relying more on the surrounding muscular and soft tissue envelope for stability."
The proximal and distal radio-ulnar joints permit _____ of the forearm.,Pronation and supination.
Which structural feature of the knee joint prevents it from being a 'true' hinge joint?,The articular surface profiles produce a variable axis of rotation and there is coupled (conjunct) rotation.
What is the 'screw-home' mechanism in joint dynamics?,"The final stage of close-packing where surfaces are fully congruent and the capsule is maximally spiralized, 'locking' the bones temporarily."
The range of movement at a symphysis is primarily determined by its _____.,Intrinsic anatomy (fibrocartilaginous disc properties and associated extrasymphyseal ligaments).
"In terms of degrees of freedom, a joint that can move in all three orthogonal planes is called _____.",Multiaxial.
Which joint movement involves sliding between apposed surfaces without appreciable angulation or rotation?,Translation.
What is the primary role of the synovial fluid in articular maintenance?,It acts as a lubricant and provides nutrition for the living cells in the avascular articular cartilages.
